Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Congenital sucrase-isomaltase deficiency,"CSID is typically treated by modifying a person's diet to reduce the amount of sucrose. Because many foods contain sucrose and other complex sugars, it can be difficult to completely remove sucrase from the diet. Sacrosidase is an oral medication containing theenzymethat does not work properly in people with this condition. By taking this medication, those with CSID can eat sucrose-containing foods because this enzyme will break down sucrose. This medication must be taken with each meal or snack.[2]"
Marden-Walker syndrome,"Very little information is available regarding the treatment of Marden-Walkersyndrome. In general, treatment is symptomatic, with a multidisciplinary approach.[3]The team of providers may include a regularpediatrician, ageneticist, aneurologist, anorthopedistand/or a physical medicine specialist. Special diets and feeding techniques may be of benefit. Early childhood intervention services may help with developmental problems. Other treatments are dependent upon the specific symptoms present in each patient.[7]"
Conversion disorder,"For some people, the symptoms of conversion disorder may improve with time, even without treatment. This can occur after they receive a diagnosis of the disorder, reassurance that the symptoms aren’t caused by an underlying problem, and validation that the symptoms are real.[2]Individuals with severe symptoms, symptoms that linger or keep coming back, or other mental or physical health problems may require treatment. The specific type of treatment depends on the particular signs and symptoms of the disorder and may include:[2][7]Counseling (psychotherapy)HypnosisPhysical therapyOccupational therapyTreatment of related physical or psychological stressors"
Cryptogenic organizing pneumonia,"The treatment of cryptogenic organizing pneumonia (COP) generally depends on the severity of the condition. For example, people who are mildly affected may simply be monitored as some cases can improve on their own. Unfortunately, the majority of people with COP have persistent and/or progressive symptoms that will require therapy. In these cases, oral or intravenousglucocorticoidscan be given which often result in rapid improvement of symptoms.[2][3]"
Menkes disease,"Treatment is based on the symptoms. It may include inserting a tube through a small opening in the abdomen that delivers nutrition directly to the stomach (gastrostomy tube or G-tube) to ensure an adequate nutrition.  Some people who have pouches in the bladder (bladder diverticulum) may need surgery.[3]Early administration of copper may extend the patient’s life and can prevent neurologic damage in some patients (about 30% of cases) or improve the symptoms when it is started very early. The copper is administrated (as copper histidine or copper chloride) into a vein (intravenous (IV)), or by injecting it under the skin (subcutaneous) because when it is given by mouth it is not absorbed by the intestines. Some studies have shown that if copper administration starts before 10 days of life in certain cases there are no neurological problems. Also, the treatment may also result in fewerseizuresand less irritability. Other treatment may include:[2][3]Penicillamine:  To avoid excess of copper during the treatmentVitamin C: It may increase the effectiveness of the copper treatment but there is no real evidence of being effectiveVitamin E: It has been suggested as a treatment perhaps by its antioxidant propertyInsertionofgenetic material(DNA) of the normalgenedirectly into the brain, usingviruscarrying the DNA (viral gene therapy). This type of treatment is still in researchL-threo-dihydroxyphenylserine (L-DOPS): Results in the improvementdopamine deficiency beta-hydroxylase (DBH)that is one of theenzymesimpaired in the disease.Developmental interventionSeveral investigationsare ongoing to find more effective treatments."
Cor triatriatum sinister,"Treatment for cor triatriatum sinister varies depending on the symptoms. For patients with milder cases who are diagnosed much later in life, surgery may not be needed.[2]In symptomatic patients, treatment may include diuretics, medications to change the force of the heart's contractions (inotropic medications), and medications to prevent clots from forming (anticoagulant therapy).[2][1]Surgery, however, is considered the definitive therapy for those who are symptomatic.[2][3]The overall life expectancy after surgical repair is expected to be similar to that for the general population.[4]"
Meesmann corneal dystrophy,"Treatment is usually not needed unless a person is experiencing symptoms. Most people only need lubricating eye drops. If symptoms are more severe, therapeutic contact lenses or cycloplegic eye drops may be used for severe sensitivity to light (photophobia). Hypertonic saline may be given if symptoms get worse when a person wakes up. Surgical procedures are sometimes tried when these treatments do not help, and may include epithelialdebridement, orkeratectomy. There is a high risk of recurrence with these procedures. Researchers are also evaluating a form ofgene therapycalledRNAinterference (RNAi) which is also called therapeutic siRNA. This therapy may be able to silence themutatedgenethat causes Meesman corneal dystrophy.[4][5][3]"
Cramp-fasciculation syndrome,"There is limited information in the medical literature about the treatment of cramp-fasciculationsyndrome(CFS). Much of what is available describes individual cases. Some people with CFS improve without treatment. Treatment withcarbamazepine,gabapentin,lamotrigine, orpregabalin(medications that reduce the hyper-excitability of nerves) was described as helpful in improving symptoms in individual cases. Immunosuppressive therapy (e.g.,prednisone) has been used to treat cases of CFS that did not respond to other treatments.[3]Decisions regarding treatment should be carefully considered and discussed with a knowledgeable healthcare provider."
Temtamy syndrome,"Unfortunately, there is no cure for Temtamysyndrome. Treatment is aimed at managing the symptoms of the syndrome. These treatment options may include surgeries to treat heart and eye problems and medications to treatseizures.Speech,occupational, andphysical therapiesmay be important to allow children with Temtamy syndrome to reach their full potentials.Developmental delaysmay be helped byearly intervention programs. Additional help in school may also be required, as most children with Temtamy syndrome haveintellectual disability.[1][3]"
Glass-Chapman-Hockley syndrome,"Surgery is typically the treatment forcraniosynostosisand is based on the person's specific signs and symptoms. The goal is to increase the space in the front (anterior) part of the skull. The operation is usually performed when the person is between 9 to 12 months of age. If other sutures, other than the coronal suture, are involved, other surgeries may be performed."
