Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Vogt-Koyanagi-Harada disease,"Management of Vogt-Koyanagi-Harada (VKH) disease may involve various specialists includingdermatologists,ophthalmologists, andneurologists.[4]Experts agree that successful therapy for VKH disease involves early and aggressive treatment with systemiccorticosteroids(steroids).[1][4][5]Even when the symptoms of VKH disease get better with steroid therapy, many people need to slowly decrease the dose of steroid over a period of 3-6 months so that their symptoms do not return.[1]For people who don't respond to steroids or who cannot tolerate the side effects, a type of therapy that changes the response of the body'simmune systemcalled immunomodulatory therapy may be tried.[1]While there is increasing evidence supporting the use of immunomodulatory therapy in almost all people with VKH disease, there is ongoing research to determine exactly when this treatment should be started and who should receive it.[1][6]Surgery forglaucomais necessary in some people.[1]Other treatments for VKH disease are symptomatic and supportive.[5]You can view more detailed information about the treatment of VKH disease on Medscape's Web site."
VACTERL association,"Treatment for VACTERL association is based on the signs and symptoms present and may vary from person to person. It is best to work with your doctor to determine the signs and symptoms present and the available treatment options available for them. Care of people with VACTERL association may involve a team approach and include several different specialists, including agastroenterologist,cardiologist, surgeon,urologist, and more."
Vernal keratoconjunctivitis,"Management of vernal keratoconjunctivitis (VKC) focuses on preventing allergic attacks as well as relieving the signs and symptoms of the condition. It is often recommended that affected individuals try to avoid the agent that causes the allergy (if possible); wear dark sunglasses in the daytime; avoid dust; and stay inside on hot afternoons. Eye drops that affect the amount of histamine released byimmune systemcells(called mast cell stabilizers) may be used at the beginning of the season or at the first sign of a ""flare-up"" to prevent severe symptoms; however, they are not considered effective at relieving symptoms. Topical eye drops are generally preferred as the first source of treatment. Cold compresses, artificial tears, ointments and/or topical antihistamines may help. Non-steroid anti-inflammatory drugs (NSAIDS) may relieve symptoms in moderate cases; topical steroids are typically only used for more severe cases because long-term use can causeglaucoma.[2]A few prescription drugs may also be available for the treatment of VKC; these include cromolyn sodium, lodoxamide tromethamine and Levocabastine. Oral administration of montelukast, a drug usually prescribed for asthma, has also been shown to be an effective treatment of VKC.[2]For more information about these drugs and their availability, individuals should speak with their health care providers."
VLCAD deficiency,"Management of VLCAD deficiency depends on many factors, including the form of the condition and the specific signs and symptoms present. For example, people affected by the severe forms of the condition are typically placed on a low-fat, high-carbohydrate diet with frequent meals. Supplemental calories may be provided through medium-chain triglycerides (MCT oil). If hospitalization is necessary for acute episodes ofhypoglycemiaand/ormetabolic crisis, intravenous glucose may be administered as an energy source. Periods ofrhabdomyolysismay be treated with hydration and alkalization of the urine (decreasing the amount of acid you take in) to protect kidney function and to preventacute kidney failure. Affected people are generally advised to avoid fasting, dehydration, and a high-fat diet.[1][2]"
Von Hippel-Lindau disease,"Treatment for Von Hippel-Lindau (VHL) disease depends on the location and size oftumors. In general, the goal is to treat growths when they cause symptoms, but are still small so they don't cause permanent damage. Treatment usually involves surgical removal of tumors.Radiation therapymay be used in some cases. All people with VHL disease should be carefully followed by a physician or medical team familiar with the disorder.[4]"
Visual snow syndrome,"Unfortunately, there is no known cure for visual snowsyndrome. However, medications may reduce symptoms of the syndrome for some people. At this point, treatment options are based on what has been reported as being effective in single case reports or a small number of people. No one treatment is known to work for everyone with visual snow syndrome, and no studies have been completed testing the effectiveness and safety of the treatments.[1][2]Therefore, it is very important that a person with visual snow syndrome talks to their doctor about the benefits and risks of any treatment.Medications that may be prescribed include:[1][2]Anti-seizuremedication, such aslamotrigineGlaucomamedication, such asacetazolamideBlood pressure medication, such asverapamilMedications to prevent migrainesNonsteroidal anti-inflammatory drugs (NSAIDs)such as ibuprofin (Advil), aspirin, and naproxen (Aleve)Using tinted contact lenses (colorimetric lenses) may help some people with the syndrome.[1][6]Because visual snow syndrome can be associated withanxietyordepression, it is important to speak with a doctor about proper treatments for these symptoms.[2][4]"
WHIM syndrome,"Early diagnosis and aggressive medical management are very important for individuals with WHIMsyndrome. Treatment of the condition currently includes G-CSF (a medication that stimulates the production ofneutrophils); intravenous immunoglobulins (IVIG) for hypogammaglobulinemia;prophylacticantibioticsto prevent infection; and aggressive surveillance for, and treatment of, skin and mucosal HPV-related lesions. The dose of G-CSF should be determined for each individual, and adjustments may be needed periodically. IVIG has been shown to be effective at decreasing risk of infections, and it has also been reported that the hypogammaglobulinemia may improve following treatment with G-CSF. The use of prophylactic antibiotics in individuals affected with WHIM has not been specifically studied, but the benefits have been assumed based on studies on other types ofimmunodeficiencydisorders. Infections should be diagnosed and treated as soon as possible.[3]A new study sponsored by the National Institute of Allergy andInfectious Diseases(NIAID) found that a drug called plerixafor, already approved by the Food and Drug Administration for use in patients undergoing abone marrow transplant, may also have promise for treating people who have WHIM syndrome. Plerixafor blocks the activity of CXCR4 (which is increased in affected individuals) and may become a targeted therapy for WHIM syndrome.  To read more about this ongoing study,click here."
Wernicke-Korsakoff syndrome,"The goals of treatment are to control symptoms as much as possible and to prevent progression of the disorder. Some people may need to be hospitalized initially to control the symptoms.[4]Wernickeencephalopathyis an acutesyndromeand requires emergency treatment to prevent death and neurologic problems. For this reason, even if the diagnosis is not confirmed, patients should be treated while additional evaluations are completed.[2][3]Treatment involves replacement ofthiamineand providing proper nutrition and hydration.[1][3]Intravenousthiamine is the treatment of choice. After the initial dose, daily doses of thiamine are usually recommended. Supplementation of electrolytes, particularly magnesium and potassium (often low in people with alcoholism), may be required in addition to thiamine. In those who are chronically malnourished, the remainder of the B vitamins should also be supplemented. Supplementation can be tapered as the patient resumes normal intake and shows improvement.[3]Because long-term alcohol use is the most common cause for Wernicke-Korsakoff syndrome, avoiding alcohol provides the best chance for recovery. Referral to an alcohol recovery program should be part of the treatment regimen.[3]Due to difficulties with movement, patients should be provided with assistance when walking during the initial phase of treatment. Patients may requirephysical therapyto assist with movement. Walking difficulties may be permanent, depending on the severity at initial presentation and the timeliness of therapy.[3]Patients with Korsakoff syndrome rarely recover. Many patients require at least some form of supervision and social support, either at home or in a chronic care facility.[5]"
Xeroderma pigmentosum,"There is no cure for XP, but there are ways to prevent and treat some of the problems associated with it. Some of the strategies employed in the management of XP include:[2][3][4]Protection from ultraviolet lightFrequent skin and eye examinationsPrompt removal of canceroustissueNeurological examinationPsychosocial careSmall, premalignant skin lesions such asactinic keratosescan be frozen withliquid nitrogen. Larger areas of sun-damaged skin can be treated withtopical 5-fluorouracilorimiquimod. In rare cases, therapeuticdermatome shaving or dermabrasionis used to remove damaged superficial epidermal layers. Skincancerscan be treated using standard treatment protocols, including electrodesiccation and curettage (scrapes away the lesion and uses electricity to kill any remainingcells), surgical excision, or chemosurgery. High dose oralisotretinoinor acitretin can be used to prevent new cancers. Cancers of the eyelids,conjunctiva, and cornea are usually treated surgically. Corneal transplantation may be necessary for those with severe keratitis and corneal opacity.[2]More detailed information about the treatment of XP may be accessed through the following online resources:GeneReviews:ManagementMedscape Reference -Treatment&Medication"
"49,XXXXY syndrome","There is no cure for 49,XXXXYsyndrome. Treatment  depends on the symptoms present in each person and is often managed by a team of various specialists. Specialists involved in the care of an affected person may include heart doctors (cardiologists),orthopedists, physiotherapists,speech therapists, eye doctors (ophthalmologists),neurologists, andendocrinologists. While life expectancy is thought to be normal in the absence of major complications, affected people will need regular medical visits.[1]"
"48,XXXY syndrome","There is no cure for 48,XXXYsyndrome. Treatment depends on the symptoms present in each individual and is best managed by a team of specialists, includingcardiologists,orthopedists,speech therapists,neurologists, andendocrinologists. Life expectancy is generally normal in the absence of major complications. Regular medical visits are often needed, in particular to monitor problems withhormoneproduction, infections, and behavior.[1]"
"46, XY disorders of sexual development","As you can read in ourGARD webpages, the 46, XY disorders are a group of different conditions including 46, XY complete gonadal dysgenesis (Swyersyndrome), 46 XY, partial gonadal dysgenesis (Denys-Drash syndrome, Frasier syndrome), ovotesticular DSD,  testicular regression syndrome (vanishingtestessyndrome) , Leydigcellaplaisa/hypoplasia, testosterone biosynthesis defects,  PORgeneabnormality, persistent Mullerian duct syndrome, 5 alpha-reductase type 2 deficiency and complete and partial androgen insensitivity syndromes.Therefore, several biologic factors such as genetic and hormonal influences contribute to gender identity, gender role behavior, and sexual orientation in humans, but this relationship is also modified by psychological, social, and cultural factors. Sex assignment of children with ambiguous genitalia remains a difficult decision for the families involved and subject to controversial discussion among professionals and self-help groups. Every case is unique and it is suggested that gender assignment should be based on clinical experience, study of the literature, and interviews with affected individuals.[3]In a large study recently published about women withcomplete androgen insensitivity syndrome(CAIS) it was found that they perceive themselves as highly feminine throughout development. Additionally, CAIS women largely report their sexual attraction, fantasies, and experiences were best described as female heterosexual. CAIS women unanimously reported satisfaction with being a woman (100%).[4]Another study with 46, XY individuals with androgen secreting testiculartissueand 46,
XX individuals withcongenitaladrenal hyperplasia concluded that androgen exposure may have some effect in higher brain function and the perception of the gender. The authors suggested that gender counseling should be part of the routine management for these patients to make sure that they are happy with being females.[5]The World Health Organization provides relevant information about gender and genetics in the following links:Genetic Components of Sex and GenderGender Assignment of Intersex Infants and ChildrenLegal Definitions of Gender"
Zika virus infection,"There is no vaccine to prevent Zikavirusinfections, nor is there a specific medicine to treat Zika.[7]Individuals infected with the Zika virus should get plenty of rest, drink fluids, and take medications such as acetaminophen for pain. Aspirin and other nonsteroidal anti-inflammatory medications (NSAIDS) should be avoided untildenguehas been ruled out.[7][8]In pregnant women with evidence of Zika virus in the blood or amniotic fluid, serial ultrasounds should be considered to monitor fetal anatomy and growth every 3-4 weeks. Referral to a maternal-fetal medicine specialist orinfectious disease specialistwith expertise in pregnancy management is recommended.[9]"
2-Hydroxyglutaric aciduria,"There is still no established treatment.  However, for the D,L-2HGA type (combined type) some researches had used either malate or citrate. During malate treatment, urinary malate concentration increased, but beyond that, no effects were observed. In contrast, treatment with citrate led to some good results, but more studies are needed to confirm the effectiveness of this treatment.[3]"
