,0
methotrexate175,Febrile Ulceronecrotic Mucha-Habermann disease
aspirin176,Fetal and neonatal alloimmune thrombocytopenia
copper177,Trimethylaminuria
cyclosporine178,Lichen planopilaris
methotrexate179,Lichen planopilaris
chlorambucil180,Gamma heavy chain disease
cyclophosphamide181,Gamma heavy chain disease
progesterone182,Watermelon stomach
cyclosporine183,Granuloma annulare
dapsone184,Granuloma annulare
tretinoin185,Granuloma annulare
tretinoin186,Granuloma annulare
cyclophosphamide187,Primary angiitis of the central nervous system
azelaic acid188,Granulomatous rosacea
dapsone189,Granulomatous rosacea
metronidazole190,Granulomatous rosacea
tretinoin191,Granulomatous rosacea
erythromycin192,Granulomatous rosacea
erythromycin193,Granulomatous rosacea
tretinoin194,Granulomatous rosacea
tretinoin195,Grover's disease
tretinoin196,Grover's disease
cyclosporine197,Guttate psoriasis
methotrexate198,Guttate psoriasis
diazepam199,Hypomyelination with atrophy of basal ganglia and cerebellum
baclofen200,Hypomyelination with atrophy of basal ganglia and cerebellum
baclofen201,Pantothenate kinase-associated neurodegeneration
cyclophosphamide202,Hashimoto's encephalitis
copper203,Wilson disease
aspirin204,"Hereditary endotheliopathy, retinopathy, nephropathy, and stroke"
aspirin205,Hereditary hemorrhagic telangiectasia
hydroxyurea206,Hypereosinophilic syndrome
calcitriol207,X-linked hypophosphatemia
penicillamine208,Lipoid proteinosis of Urbach and Wiethe
penicillamine209,Lipoid proteinosis of Urbach and Wiethe
amino acids210,Alkaptonuria
amino acids211,Alkaptonuria
amino acids212,Alkaptonuria
amino acids213,Alkaptonuria
amino acids214,Alkaptonuria
amino acids215,Alkaptonuria
amino acids216,Alkaptonuria
amino acids217,Alkaptonuria
amino acids218,Alkaptonuria
amino acids219,Alkaptonuria
amino acids220,Alkaptonuria
calcitriol221,Osteopetrosis
aspirin222,Pars planitis
methotrexate223,Pars planitis
testosterone224,Klinefelter syndrome
testosterone225,Klinefelter syndrome
cyclophosphamide226,Limbic encephalitis
clozapine227,Tardive dyskinesia
aspirin228,Livedoid vasculopathy
cyclosporine229,Pustulosis palmaris et plantaris
linezolid230,Nocardiosis
meropenem231,Nocardiosis
cyclophosphamide232,Lymphomatoid papulosis
methotrexate233,Lymphomatoid papulosis
carmustine234,Lymphomatoid papulosis
carmustine235,Lymphomatoid papulosis
cyclosporine236,Alopecia universalis
hydroxyurea237,Meningioma
fenofibrate238,MTHFR gene variant
methotrexate239,MTHFR gene variant
cyclophosphamide240,Microscopic polyangiitis
methotrexate241,Microscopic polyangiitis
cyclophosphamide242,Multifocal motor neuropathy
diazepam243,Stiff person syndrome
baclofen244,Stiff person syndrome
methotrexate245,Morphea
aspirin246,Moyamoya disease
aspirin247,Multicentric reticulohistiocytosis
chlorambucil248,Multicentric reticulohistiocytosis
cyclophosphamide249,Multicentric reticulohistiocytosis
methotrexate250,Multicentric reticulohistiocytosis
cyclosporine251,Multifocal choroiditis
tretinoin252,Steatocystoma multiplex
tretinoin253,Steatocystoma multiplex
cyclophosphamide254,Nodular nonsuppurative panniculitis
pyrimethamine255,Ocular toxoplasmosis
calcitriol256,Oncogenic osteomalacia
tretinoin257,Oral lichen planus
chlorothiazide258,Oral lichen planus
tretinoin259,Oral lichen planus
cyclophosphamide260,Ovarian small cell carcinoma
cyclophosphamide261,Polyarteritis nodosa
diazepam262,Pelizaeus-Merzbacher disease
baclofen263,Pelizaeus-Merzbacher disease
cyclophosphamide264,Pemphigus
cyclosporine265,Pemphigus
methotrexate266,Pemphigus
dapsone267,Pemphigus vulgaris
methotrexate268,Pemphigus vulgaris
cyclosporine269,Pityriasis rubra pilaris
tazarotene270,Pityriasis rubra pilaris
tazarotene271,Pityriasis rubra pilaris
tretinoin272,Pityriasis rubra pilaris
tretinoin273,Pityriasis rubra pilaris
aspirin274,Platelet storage pool deficiency
fluorouracil275,Porokeratosis of Mibelli
tretinoin276,Porokeratosis of Mibelli
tretinoin277,Porokeratosis of Mibelli
fluorouracil278,Punctate porokeratosis
tretinoin279,Punctate porokeratosis
tretinoin280,Punctate porokeratosis
progesterone281,Sheehan syndrome
aspirin282,Susac syndrome
cyclophosphamide283,Susac syndrome
cytarabine284,Richter syndrome
baclofen285,Rumination disorder
cyclophosphamide286,Sarcoidosis
methotrexate287,Sarcoidosis
cyclophosphamide288,Scleroderma
iloprost289,Scleroderma
methotrexate290,Scleroderma
diazepam291,Sydenham's chorea
baclofen292,Trigeminal neuralgia
aspirin293,Transverse myelitis
cyclophosphamide294,Transverse myelitis
methotrexate295,Transverse myelitis
lodoxamide tromethamine296,Vernal keratoconjunctivitis
tromethamine297,Vernal keratoconjunctivitis
aspirin298,Visual snow syndrome
fluorouracil299,Xeroderma pigmentosum
tretinoin300,Xeroderma pigmentosum
tretinoin301,Xeroderma pigmentosum
testosterone302,"46, XY disorders of sexual development"
testosterone303,"46, XY disorders of sexual development"
acetaminophen304,Zika virus infection
cyclophosphamide305,Goodpasture syndrome
acetaminophen306,Bell's palsy
acyclovir307,Bell's palsy
aspirin308,Bell's palsy
progesterone309,Autoimmune progesterone dermatitis
estradiol310,Autoimmune progesterone dermatitis
estradiol311,Autoimmune progesterone dermatitis
estradiol312,Autoimmune progesterone dermatitis
estradiol313,Autoimmune progesterone dermatitis
silver sulfadiazine314,Aplasia cutis congenita
aspirin315,Nail-patella syndrome
cyclophosphamide316,Opsoclonus-myoclonus syndrome
aspirin317,Familial atrial fibrillation
aspirin318,Degos disease
