,Name,URLS,Treatment
11,Al-Awadi-Raas-Rothschild syndrome,/diseases/9212/al-awadi-raas-rothschild-syndrome,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
12,Aarskog syndrome,/diseases/4775/aarskog-syndrome,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
13,SHORT syndrome,/diseases/7633/short-syndrome,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
14,Diamond-Blackfan anemia,/diseases/6274/diamond-blackfan-anemia,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
15,Hydrocephalus-cleft palate-joint contractures syndrome,/diseases/5642/hydrocephalus-cleft-palate-joint-contractures-syndrome,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
16,Acquired amegakaryocytic thrombocytopenia,/diseases/9596/acquired-amegakaryocytic-thrombocytopenia,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
17,"Aortic aneurysm, familial thoracic 4",/diseases/9876/aortic-aneurysm-familial-thoracic-4,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
18,ANCA-associated vasculitis,/diseases/13011/anca-associated-vasculitis,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
19,Gamma aminobutyric acid transaminase deficiency,/diseases/194/gamma-aminobutyric-acid-transaminase-deficiency,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
20,Abderhalden Kaufmann Lignac syndrome,/diseases/10074/abderhalden-kaufmann-lignac-syndrome,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
21,Abdominal aortic aneurysm,/diseases/9181/abdominal-aortic-aneurysm,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
22,Abdominal chemodectomas with cutaneous angiolipomas,/diseases/1265/abdominal-chemodectomas-with-cutaneous-angiolipomas,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
23,Abdominal cystic lymphangioma,/diseases/439/abdominal-cystic-lymphangioma,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
24,Prune belly syndrome,/diseases/7479/prune-belly-syndrome,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
25,Abdominal obesity metabolic syndrome,/diseases/9226/abdominal-obesity-metabolic-syndrome,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
26,Athabaskan brainstem dysgenesis,/diseases/8333/athabaskan-brainstem-dysgenesis,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
27,Sixth nerve palsy,/diseases/9482/sixth-nerve-palsy,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
28,Spasmodic dysphonia,/diseases/7668/spasmodic-dysphonia,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
29,Schwartz Jampel syndrome,/diseases/250/schwartz-jampel-syndrome,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
30,Congenital extrahepatic portosystemic shunt,/diseases/10908/congenital-extrahepatic-portosystemic-shunt,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
31,Aberrant subclavian artery,/diseases/5706/aberrant-subclavian-artery,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
32,Abetalipoproteinemia,/diseases/5/abetalipoproteinemia,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
33,Ablepharon macrostomia syndrome,/diseases/3/ablepharon-macrostomia-syndrome,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
34,Ankylosis of teeth,/diseases/701/ankylosis-of-teeth,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
35,Hutchinson incisors,/diseases/8160/hutchinson-incisors,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
36,Allergic bronchopulmonary aspergillosis,/diseases/602/allergic-bronchopulmonary-aspergillosis,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
37,Dementia familial British,/diseases/8344/dementia-familial-british,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
38,Granular cell tumor,/diseases/9618/granular-cell-tumor,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
39,Abruzzo-Erickson syndrome,/diseases/360/abruzzo-erickson-syndrome,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
40,Anencephaly,/diseases/5808/anencephaly,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
41,Ectodermal dysplasia alopecia preaxial polydactyly,/diseases/2040/ectodermal-dysplasia-alopecia-preaxial-polydactyly,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
42,"Acrocallosal syndrome, Schinzel type",/diseases/5721/acrocallosal-syndrome-schinzel-type,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
43,Absence of fingerprints congenital milia,/diseases/2336/absence-of-fingerprints-congenital-milia,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
44,Adermatoglyphia,/diseases/12550/adermatoglyphia,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
45,Absence of gluteal muscle,/diseases/8518/absence-of-gluteal-muscle,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
46,Anodontia,/diseases/5818/anodontia,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
47,Absence of septum pellucidum,/diseases/9253/absence-of-septum-pellucidum,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
48,Anorchia,/diseases/5819/anorchia,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
49,Oculorenocerebellar syndrome,/diseases/4050/oculorenocerebellar-syndrome,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
50,Absence of Tibia,/diseases/8707/absence-of-tibia,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
51,Absence of tibia with polydactyly,/diseases/8309/absence-of-tibia-with-polydactyly,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
52,Tetraamelia with pulmonary hypoplasia,/diseases/5147/tetraamelia-with-pulmonary-hypoplasia,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
53,"Vagina, absence of",/diseases/10022/vagina-absence-of,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
54,Moebius syndrome,/diseases/8549/moebius-syndrome,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
55,Tibia absent polydactyly arachnoid cyst,/diseases/5210/tibia-absent-polydactyly-arachnoid-cyst,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
56,Absent breasts and nipples,/diseases/9489/absent-breasts-and-nipples,"Standard treatment guidelines have not been established for acquired amegakaryocyticthrombocytopenia. However, various immunosuppressive treatment approaches have been utilized in affected people. In several case reports, affected people were successfully treated withcyclosporineeither alone or in combination with other immunosuppressive medications (i.e. antithymocyte globulin). Other therapies for acquired amegakaryocytic thrombocytopenia have includedrituximab,danazol,azathioprine, andbone marrow transplantwith variable success.[1]To determine the best treatment for you or a family member, please speak with a healthcare provider."
