,Name,URLS
44,Adermatoglyphia,/diseases/12550/adermatoglyphia
45,Absence of gluteal muscle,/diseases/8518/absence-of-gluteal-muscle
46,Anodontia,/diseases/5818/anodontia
47,Absence of septum pellucidum,/diseases/9253/absence-of-septum-pellucidum
48,Anorchia,/diseases/5819/anorchia
49,Oculorenocerebellar syndrome,/diseases/4050/oculorenocerebellar-syndrome
50,Absence of Tibia,/diseases/8707/absence-of-tibia
51,Absence of tibia with polydactyly,/diseases/8309/absence-of-tibia-with-polydactyly
52,Tetraamelia with pulmonary hypoplasia,/diseases/5147/tetraamelia-with-pulmonary-hypoplasia
53,"Vagina, absence of",/diseases/10022/vagina-absence-of
54,Moebius syndrome,/diseases/8549/moebius-syndrome
55,Tibia absent polydactyly arachnoid cyst,/diseases/5210/tibia-absent-polydactyly-arachnoid-cyst
56,Absent breasts and nipples,/diseases/9489/absent-breasts-and-nipples
57,Vici syndrome,/diseases/448/vici-syndrome
58,Amelogenesis imperfecta nephrocalcinosis,/diseases/646/amelogenesis-imperfecta-nephrocalcinosis
59,Pseudoprogeria syndrome,/diseases/415/pseudoprogeria-syndrome
60,Brachydactyly type A5,/diseases/982/brachydactyly-type-a5
61,Onychodystrophy-anonychia,/diseases/710/onychodystrophy-anonychia
62,Absent patella,/diseases/8709/absent-patella
63,Genitopatellar syndrome,/diseases/10994/genitopatellar-syndrome
64,TAR syndrome,/diseases/5116/tar-syndrome
65,Asternia,/diseases/9221/asternia
66,Rapadilino syndrome,/diseases/4637/rapadilino-syndrome
67,Alpha-thalassemia-abnormal morphogenesis,/diseases/362/alpha-thalassemia-abnormal-morphogenesis
68,Psychosocial short stature,/diseases/9440/psychosocial-short-stature
69,Farber's disease,/diseases/6426/farbers-disease
70,Isobutyryl-CoA dehydrogenase deficiency,/diseases/10223/isobutyryl-coa-dehydrogenase-deficiency
71,LCAD deficiency,/diseases/9700/lcad-deficiency
72,Medium-chain acyl-coenzyme A dehydrogenase deficiency,/diseases/540/medium-chain-acyl-coenzyme-a-dehydrogenase-deficiency
73,Short-chain acyl-CoA dehydrogenase deficiency,/diseases/4822/short-chain-acyl-coa-dehydrogenase-deficiency
74,Cholecystitis,/diseases/30/cholecystitis
75,Acalvaria,/diseases/361/acalvaria
76,Acanthamoeba keratitis,/diseases/9285/acanthamoeba-keratitis
77,Acanthocheilonemiasis,/diseases/4/acanthocheilonemiasis
78,Chorea-acanthocytosis,/diseases/3956/chorea-acanthocytosis
79,Acanthoma,/diseases/8604/acanthoma
80,Onychocytic matricoma,/diseases/11007/onychocytic-matricoma
81,Acanthosis nigricans,/diseases/8603/acanthosis-nigricans
82,Acanthosis nigricans muscle cramps acral enlargement,/diseases/453/acanthosis-nigricans-muscle-cramps-acral-enlargement
83,Acardia,/diseases/9823/acardia
84,Acetyl CoA acetyltransferase 2 deficiency,/diseases/9154/acetyl-coa-acetyltransferase-2-deficiency
85,Acatalasemia,/diseases/363/acatalasemia
86,Adrenocortical carcinoma,/diseases/558/adrenocortical-carcinoma
87,Proud syndrome,/diseases/4528/proud-syndrome
88,Aplasia cutis congenita intestinal lymphangiectasia,/diseases/753/aplasia-cutis-congenita-intestinal-lymphangiectasia
89,Silicosis,/diseases/7647/silicosis
90,Accessory navicular bone,/diseases/8543/accessory-navicular-bone
91,Accessory deep peroneal nerve,/diseases/8546/accessory-deep-peroneal-nerve
92,Supernumerary nipple,/diseases/2259/supernumerary-nipple
93,Accessory pancreas,/diseases/454/accessory-pancreas
94,Andermann syndrome,/diseases/1537/andermann-syndrome
95,Fetal retinoid syndrome,/diseases/517/fetal-retinoid-syndrome
96,Acrofacial dysostosis Catania type,/diseases/494/acrofacial-dysostosis-catania-type
97,Acute cholinergic dysautonomia,/diseases/9394/acute-cholinergic-dysautonomia
98,Alopecia-contractures-dwarfism-intellectual disability syndrome,/diseases/605/alopecia-contractures-dwarfism-intellectual-disability-syndrome
99,ACDC,/diseases/10762/acdc
100,Aceruloplasminemia,/diseases/9499/aceruloplasminemia
101,Episodic ataxia with nystagmus,/diseases/9602/episodic-ataxia-with-nystagmus
102,Acetyl-carnitine deficiency,/diseases/8602/acetyl-carnitine-deficiency
103,Mucopolysaccharidosis type IIIC,/diseases/7073/mucopolysaccharidosis-type-iiic
104,N acetyltransferase deficiency,/diseases/188/n-acetyltransferase-deficiency
105,Acrocapitofemoral dysplasia,/diseases/10605/acrocapitofemoral-dysplasia
106,Achondrogenesis type 1A,/diseases/459/achondrogenesis-type-1a
107,Achondrogenesis type 1B,/diseases/460/achondrogenesis-type-1b
108,Achondrogenesis type 2,/diseases/8713/achondrogenesis-type-2
109,Achondroplasia,/diseases/8173/achondroplasia
110,Idiopathic achalasia,/diseases/5708/idiopathic-achalasia
111,Achalasia microcephaly syndrome,/diseases/456/achalasia-microcephaly-syndrome
112,Achard syndrome,/diseases/8176/achard-syndrome
113,Achard Thiers syndrome,/diseases/5709/achard-thiers-syndrome
114,Acheiropody,/diseases/376/acheiropody
115,Achromatopsia 3,/diseases/9650/achromatopsia-3
116,Achromatopsia 2,/diseases/9649/achromatopsia-2
117,Achondrogenesis,/diseases/2882/achondrogenesis
118,"Chondrodysplasia, Grebe type",/diseases/1300/chondrodysplasia-grebe-type
119,Achondroplasia and severe combined immunodeficiency,/diseases/2988/achondroplasia-and-severe-combined-immunodeficiency
120,Achondroplasia and Swiss type agammaglobulinemia,/diseases/463/achondroplasia-and-swiss-type-agammaglobulinemia
121,Autosomal dominant compelling helio ophthalmic outburst syndrome,/diseases/10036/autosomal-dominant-compelling-helio-ophthalmic-outburst-syndrome
122,Blue cone monochromatism,/diseases/917/blue-cone-monochromatism
123,Gaucher disease type 1,/diseases/2441/gaucher-disease-type-1
124,Glycogen storage disease type 2,/diseases/5714/glycogen-storage-disease-type-2
125,Methylmalonic acidemia,/diseases/7033/methylmalonic-acidemia
126,Acinic cell carcinoma,/diseases/8568/acinic-cell-carcinoma
127,Acitretin embryopathy,/diseases/468/acitretin-embryopathy
128,Jamaican vomiting sickness,/diseases/9299/jamaican-vomiting-sickness
129,Ackerman syndrome,/diseases/469/ackerman-syndrome
130,Hidradenitis suppurativa,/diseases/6658/hidradenitis-suppurativa
131,Acoustic neuroma,/diseases/223/acoustic-neuroma
132,Neurofibromatosis type 2,/diseases/7193/neurofibromatosis-type-2
133,Ogilvie syndrome,/diseases/7248/ogilvie-syndrome
134,Carpenter syndrome,/diseases/6003/carpenter-syndrome
135,Sakati syndrome,/diseases/115/sakati-syndrome
136,Goodman syndrome,/diseases/2549/goodman-syndrome
137,Adult-onset immunodeficiency with anti-interferon-gamma autoantibodies,/diseases/11992/adult-onset-immunodeficiency-with-anti-interferon-gamma-autoantibodies
138,Acquired agranulocytosis,/diseases/5717/acquired-agranulocytosis
139,Acquired angioedema,/diseases/8605/acquired-angioedema
140,Landau-Kleffner syndrome,/diseases/6855/landau-kleffner-syndrome
141,Autoimmune hemolytic anemia,/diseases/5870/autoimmune-hemolytic-anemia
142,Epidermolysis bullosa acquisita,/diseases/6360/epidermolysis-bullosa-acquisita
143,Acquired hemophilia A,/diseases/6405/acquired-hemophilia-a
144,Acquired hypoprothrombinemia,/diseases/475/acquired-hypoprothrombinemia
145,Acquired fructose intolerance,/diseases/2399/acquired-fructose-intolerance
146,Acquired hemophilia,/diseases/10350/acquired-hemophilia
147,SAPHO syndrome,/diseases/7606/sapho-syndrome
148,"Ichthyosis, acquired",/diseases/476/ichthyosis-acquired
149,Isaacs' syndrome,/diseases/6793/isaacs-syndrome
150,Pernicious anemia,/diseases/12671/pernicious-anemia
151,Acquired pure red cell aplasia,/diseases/10898/acquired-pure-red-cell-aplasia
152,Autoimmune pulmonary alveolar proteinosis,/diseases/7499/autoimmune-pulmonary-alveolar-proteinosis
153,Acquired Von Willebrand syndrome,/diseases/5573/acquired-von-willebrand-syndrome
154,Acral peeling skin syndrome,/diseases/12863/acral-peeling-skin-syndrome
155,Acral dysostosis dyserythropoiesis syndrome,/diseases/478/acral-dysostosis-dyserythropoiesis-syndrome
156,Robinow syndrome,/diseases/312/robinow-syndrome
157,Acral lentiginous melanoma,/diseases/9570/acral-lentiginous-melanoma
158,AREDYLD,/diseases/8509/aredyld
159,Allain-Babin-Demarquez syndrome,/diseases/124/allain-babin-demarquez-syndrome
160,Acro coxo mesomelic dysplasia,/diseases/483/acro-coxo-mesomelic-dysplasia
161,ADULT syndrome,/diseases/384/adult-syndrome
162,Acrofrontofacionasal dysostosis syndrome,/diseases/484/acrofrontofacionasal-dysostosis-syndrome
163,Hordnes Engebretsen Knudtson syndrome,/diseases/2736/hordnes-engebretsen-knudtson-syndrome
164,Acrocephalopolydactylous dysplasia,/diseases/2096/acrocephalopolydactylous-dysplasia
165,Acrocephalopolydactyly,/diseases/486/acrocephalopolydactyly
166,Apert syndrome,/diseases/5833/apert-syndrome
167,Saethre-Chotzen syndrome,/diseases/7598/saethre-chotzen-syndrome
168,Pfeiffer syndrome,/diseases/7380/pfeiffer-syndrome
169,Kaplan Plauchu Fitch syndrome,/diseases/3075/kaplan-plauchu-fitch-syndrome
170,Acrodermatitis,/diseases/5722/acrodermatitis
171,Acrodermatitis enteropathica,/diseases/5723/acrodermatitis-enteropathica
172,Gianotti Crosti syndrome,/diseases/6499/gianotti-crosti-syndrome
173,Acrodysostosis,/diseases/5724/acrodysostosis
174,Acrodysplasia scoliosis,/diseases/491/acrodysplasia-scoliosis
175,"Acrodysplasia with ossification abnormalities, short stature and fibular hypoplasia",/diseases/10076/acrodysplasia-with-ossification-abnormalities-short-stature-and-fibular-hypoplasia
176,Nager acrofacial dysostosis,/diseases/498/nager-acrofacial-dysostosis
177,Weyers acrofacial dysostosis,/diseases/497/weyers-acrofacial-dysostosis
178,Acrofacial dysostosis Palagonia type,/diseases/499/acrofacial-dysostosis-palagonia-type
179,Acrofacial dysostosis Preis type,/diseases/495/acrofacial-dysostosis-preis-type
180,Acrofacial dysostosis Rodriguez type,/diseases/496/acrofacial-dysostosis-rodriguez-type
181,Naguib-Richieri-Costa syndrome,/diseases/287/naguib-richieri-costa-syndrome
182,"Acrogeria, Gottron type",/diseases/6543/acrogeria-gottron-type
183,Acrokeratoelastoidosis of Costa,/diseases/125/acrokeratoelastoidosis-of-costa
184,"Acromegaloid changes, cutis verticis gyrata and corneal leukoma",/diseases/500/acromegaloid-changes-cutis-verticis-gyrata-and-corneal-leukoma
185,Acromegaloid facial appearance syndrome,/diseases/501/acromegaloid-facial-appearance-syndrome
186,Acromegaloid hypertrichosis syndrome,/diseases/502/acromegaloid-hypertrichosis-syndrome
187,"Acromegaloid features, overgrowth, cleft palate and hernia",/diseases/10194/acromegaloid-features-overgrowth-cleft-palate-and-hernia
188,Acromegaly,/diseases/5725/acromegaly
189,Acromelanosis,/diseases/4500/acromelanosis
190,Acromelic frontonasal dysostosis,/diseases/5539/acromelic-frontonasal-dysostosis
191,Acromesomelic dysplasia,/diseases/6/acromesomelic-dysplasia
192,Acromesomelic dysplasia Maroteaux type,/diseases/507/acromesomelic-dysplasia-maroteaux-type
193,Acromesomelic dysplasia Campailla Martinelli type,/diseases/505/acromesomelic-dysplasia-campailla-martinelli-type
194,Acromesomelic dysplasia Hunter Thompson type,/diseases/506/acromesomelic-dysplasia-hunter-thompson-type
195,Acromicric dysplasia,/diseases/7/acromicric-dysplasia
196,Acroosteolysis dominant type,/diseases/508/acroosteolysis-dominant-type
197,Van Bogaert-Hozay syndrome,/diseases/8415/van-bogaert-hozay-syndrome
198,Acropectoral syndrome,/diseases/8485/acropectoral-syndrome
199,Acro-pectoro-renal field defect,/diseases/511/acro-pectoro-renal-field-defect
200,Acropectorovertebral dysplasia F form,/diseases/512/acropectorovertebral-dysplasia-f-form
201,Acrorenal mandibular syndrome,/diseases/480/acrorenal-mandibular-syndrome
202,Acrorenal syndrome recessive,/diseases/514/acrorenal-syndrome-recessive
203,Duane-radial ray syndrome,/diseases/9182/duane-radial-ray-syndrome
204,Acrospiroma,/diseases/5726/acrospiroma
205,ACSL4-related intellectual disability,/diseases/5613/acsl4-related-intellectual-disability
206,ACTG2-related disorders ,/diseases/12743/actg2-related-disorders
207,Isolated ACTH deficiency,/diseases/5727/isolated-acth-deficiency
208,Familial glucocorticoid deficiency,/diseases/2498/familial-glucocorticoid-deficiency
209,ACTH-independent macronodular adrenal hyperplasia,/diseases/10824/acth-independent-macronodular-adrenal-hyperplasia
210,ACTH-secreting pituitary adenoma,/diseases/12867/acth-secreting-pituitary-adenoma
211,Actinic cheilitis,/diseases/9619/actinic-cheilitis
212,Actinic lichen planus,/diseases/12673/actinic-lichen-planus
213,Actinomycosis,/diseases/5728/actinomycosis
214,PASLI disease,/diseases/11983/pasli-disease
215,Blau syndrome,/diseases/304/blau-syndrome
216,Acute alcohol sensitivity ,/diseases/12634/acute-alcohol-sensitivity
217,Acute articular rheumatism,/diseases/518/acute-articular-rheumatism
218,Guillain-Barre syndrome,/diseases/6554/guillain-barre-syndrome
219,Beryllium disease,/diseases/867/beryllium-disease
220,Acute leukemia of ambiguous lineage,/diseases/8638/acute-leukemia-of-ambiguous-lineage
221,Parsonage Turner syndrome,/diseases/4228/parsonage-turner-syndrome
222,Gaucher disease,/diseases/8233/gaucher-disease
223,Acute disseminated encephalomyelitis,/diseases/8639/acute-disseminated-encephalomyelitis
224,Febrile infection-related epilepsy syndrome,/diseases/11005/febrile-infection-related-epilepsy-syndrome
225,Acute erythroid leukemia,/diseases/9620/acute-erythroid-leukemia
226,Acute fatty liver of pregnancy,/diseases/9578/acute-fatty-liver-of-pregnancy
227,Acute febrile neutrophilic dermatosis,/diseases/521/acute-febrile-neutrophilic-dermatosis
228,Acute flaccid myelitis,/diseases/13142/acute-flaccid-myelitis
229,Acute graft versus host disease,/diseases/6544/acute-graft-versus-host-disease
230,Acute hemorrhagic leukoencephalitis,/diseases/8629/acute-hemorrhagic-leukoencephalitis
231,Transient infantile liver failure,/diseases/10593/transient-infantile-liver-failure
232,Infantile liver failure syndrome 1,/diseases/13114/infantile-liver-failure-syndrome-1
233,Acute intermittent porphyria,/diseases/5732/acute-intermittent-porphyria
234,Acute interstitial pneumonia,/diseases/12835/acute-interstitial-pneumonia
235,Lipodermatosclerosis,/diseases/9671/lipodermatosclerosis
236,Acute respiratory distress syndrome,/diseases/5698/acute-respiratory-distress-syndrome
237,Acute lymphoblastic leukemia,/diseases/522/acute-lymphoblastic-leukemia
238,Acute lymphoblastic leukemia congenital sporadic aniridia,/diseases/523/acute-lymphoblastic-leukemia-congenital-sporadic-aniridia
239,Marchiafava Bignami disease,/diseases/6971/marchiafava-bignami-disease
240,Acute megakaryoblastic leukemia,/diseases/524/acute-megakaryoblastic-leukemia
241,Acute necrotizing ulcerative gingivitis,/diseases/5736/acute-necrotizing-ulcerative-gingivitis
242,Acute monoblastic leukemia,/diseases/525/acute-monoblastic-leukemia
243,Acute mountain sickness,/diseases/5730/acute-mountain-sickness
244,Acute posterior multifocal placoid pigment epitheliopathy,/diseases/2183/acute-posterior-multifocal-placoid-pigment-epitheliopathy
245,Acute promyelocytic leukemia,/diseases/538/acute-promyelocytic-leukemia
246,Acute myeloblastic leukemia without maturation,/diseases/526/acute-myeloblastic-leukemia-without-maturation
247,Acute myeloblastic leukemia with maturation,/diseases/527/acute-myeloblastic-leukemia-with-maturation
248,Acute myelomonocytic leukemia,/diseases/529/acute-myelomonocytic-leukemia
249,Acute panmyelosis with myelofibrosis,/diseases/11907/acute-panmyelosis-with-myelofibrosis
250,Acute myeloid leukemia ,/diseases/12757/acute-myeloid-leukemia
251,AML with myelodysplasia-related features ,/diseases/12761/aml-with-myelodysplasia-related-features
252,Acute myeloid leukemia with abnormal bone marrow eosinophils inv(16)(p13q22) or t(16;16)(p13;q22) ,/diseases/536/acute-myeloid-leukemia-with-abnormal-bone-marrow-eosinophils-inv16p13q22-or-t1616p13q22
253,Acute myeloid leukemia with inv3(p21;q26.2) or t(3;3)(p21;q26.2),/diseases/12759/acute-myeloid-leukemia-with-inv3p21q262-or-t33p21q262
254,Acute myeloid leukemia with recurrent genetic anomaly,/diseases/12758/acute-myeloid-leukemia-with-recurrent-genetic-anomaly
255,Acute necrotizing encephalopathy,/diseases/13233/acute-necrotizing-encephalopathy
256,Infection-induced acute encephalopathy 3,/diseases/13232/infection-induced-acute-encephalopathy-3
257,Acute non lymphoblastic leukemia,/diseases/537/acute-non-lymphoblastic-leukemia
258,Hemolytic uremic syndrome,/diseases/6588/hemolytic-uremic-syndrome
259,Rheumatic Fever,/diseases/5699/rheumatic-fever
260,Sudden sensorineural hearing loss,/diseases/12927/sudden-sensorineural-hearing-loss
261,Broken heart syndrome,/diseases/9400/broken-heart-syndrome
262,Acute zonal occult outer retinopathy,/diseases/8640/acute-zonal-occult-outer-retinopathy
263,Spinocerebellar ataxia 29,/diseases/10480/spinocerebellar-ataxia-29
264,Aminoacylase 1 deficiency,/diseases/9741/aminoacylase-1-deficiency
265,Canavan disease,/diseases/5984/canavan-disease
266,Autosomal dominant hyper IgE syndrome,/diseases/6800/autosomal-dominant-hyper-ige-syndrome
267,"Early-onset, autosomal dominant Alzheimer disease",/diseases/12798/early-onset-autosomal-dominant-alzheimer-disease
268,Late-Onset Familial Alzheimer Disease,/diseases/12799/late-onset-familial-alzheimer-disease
269,Adenosine deaminase deficiency,/diseases/5748/adenosine-deaminase-deficiency
270,Adenosine Deaminase 2 deficiency,/diseases/12383/adenosine-deaminase-2-deficiency
271,Adactylia unilateral,/diseases/377/adactylia-unilateral
272,Osteogenesis imperfecta type I,/diseases/8694/osteogenesis-imperfecta-type-i
273,Craniopharyngioma,/diseases/10486/craniopharyngioma
274,Adams-Oliver syndrome,/diseases/5739/adams-oliver-syndrome
275,AIDS Dementia Complex,/diseases/8250/aids-dementia-complex
276,Autosomal dominant cerebellar ataxia,/diseases/4346/autosomal-dominant-cerebellar-ataxia
277,Spinocerebellar ataxia 7,/diseases/4955/spinocerebellar-ataxia-7
278,"Autosomal dominant cerebellar ataxia, deafness, and narcolepsy",/diseases/12372/autosomal-dominant-cerebellar-ataxia-deafness-and-narcolepsy
279,"Cutis laxa, autosomal dominant",/diseases/1639/cutis-laxa-autosomal-dominant
280,Autosomal dominant centronuclear myopathy,/diseases/12719/autosomal-dominant-centronuclear-myopathy
281,ADCY5-related dyskinesia ,/diseases/12722/adcy5-related-dyskinesia
282,Addison's disease,/diseases/5740/addisons-disease
283,Musculocontractural Ehlers-Danlos syndrome,/diseases/8486/musculocontractural-ehlers-danlos-syndrome
284,Spastic paraplegia 1,/diseases/6986/spastic-paraplegia-1
285,Adducted thumbs Dundar type,/diseases/545/adducted-thumbs-dundar-type
286,"Clasped thumbs, congenital",/diseases/10277/clasped-thumbs-congenital
287,Adenine phosphoribosyltransferase deficiency,/diseases/546/adenine-phosphoribosyltransferase-deficiency
288,Sialadenitis,/diseases/7638/sialadenitis
289,Ameloblastoma,/diseases/5747/ameloblastoma
290,Adenocarcinoid tumor,/diseases/5741/adenocarcinoid-tumor
291,Renal cell carcinoma,/diseases/13215/renal-cell-carcinoma
292,Small Intestinal Adenocarcinoma,/diseases/13090/small-intestinal-adenocarcinoma
293,Adenocarcinoma of the appendix,/diseases/10564/adenocarcinoma-of-the-appendix
294,Urachal adenocarcinoma,/diseases/10186/urachal-adenocarcinoma
295,Adenoid cystic carcinoma,/diseases/5743/adenoid-cystic-carcinoma
296,Adenoma of the adrenal gland,/diseases/5745/adenoma-of-the-adrenal-gland
297,Familial adenomatous polyposis,/diseases/6408/familial-adenomatous-polyposis
298,Epithelial-myoepithelial carcinoma,/diseases/6364/epithelial-myoepithelial-carcinoma
299,Adenomyosis,/diseases/8156/adenomyosis
300,Adenosarcoma of the uterus,/diseases/9636/adenosarcoma-of-the-uterus
301,Adenosine monophosphate deaminase 1 deficiency,/diseases/547/adenosine-monophosphate-deaminase-1-deficiency
302,Anemia due to Adenosine triphosphatase deficiency,/diseases/548/anemia-due-to-adenosine-triphosphatase-deficiency
303,Adenosquamous carcinoma of the endometrium,/diseases/13107/adenosquamous-carcinoma-of-the-endometrium
304,Vitamin B12-responsive methylmalonic acidemia,/diseases/12623/vitamin-b12-responsive-methylmalonic-acidemia
305,Adenylosuccinase deficiency,/diseases/550/adenylosuccinase-deficiency
306,Nephrogenic diabetes insipidus,/diseases/7178/nephrogenic-diabetes-insipidus
307,"Limb-girdle muscular dystrophy, type 2C",/diseases/2429/limb-girdle-muscular-dystrophy-type-2c
308,Adie syndrome,/diseases/5749/adie-syndrome
309,Adiposis dolorosa,/diseases/5750/adiposis-dolorosa
310,Froelich syndrome,/diseases/6463/froelich-syndrome
311,Autosomal dominant leukodystrophy with autonomic disease,/diseases/10587/autosomal-dominant-leukodystrophy-with-autonomic-disease
312,Autosomal dominant partial epilepsy with auditory features,/diseases/2257/autosomal-dominant-partial-epilepsy-with-auditory-features
313,Amyopathic dermatomyositis,/diseases/9907/amyopathic-dermatomyositis
314,Autosomal dominant tubulointerstitial kidney disease,/diseases/10801/autosomal-dominant-tubulointerstitial-kidney-disease
315,Mucin-1 kidney disease,/diseases/7002/mucin-1-kidney-disease
316,Uromodulin kidney disease,/diseases/10679/uromodulin-kidney-disease
317,Muscular dystrophy,/diseases/7922/muscular-dystrophy
318,Adnexal spiradenoma/cylindroma of a sweat gland,/diseases/8641/adnexal-spiradenomacylindroma-of-a-sweat-gland
319,Autosomal dominant nocturnal frontal lobe epilepsy,/diseases/11918/autosomal-dominant-nocturnal-frontal-lobe-epilepsy
320,ADNP syndrome,/diseases/12931/adnp-syndrome
321,Dominant optic atrophy,/diseases/11972/dominant-optic-atrophy
322,Adolescent idiopathic scoliosis,/diseases/552/adolescent-idiopathic-scoliosis
323,Adolescent-onset dystonia of mixed type,/diseases/9630/adolescent-onset-dystonia-of-mixed-type
324,Bleeding disorder due to P2RY12 defect,/diseases/12478/bleeding-disorder-due-to-p2ry12-defect
325,Polycystic kidney disease,/diseases/7419/polycystic-kidney-disease
326,Autosomal dominant polycystic kidney disease,/diseases/10413/autosomal-dominant-polycystic-kidney-disease
327,Reardon Wilson Cavanagh syndrome,/diseases/4644/reardon-wilson-cavanagh-syndrome
328,Adrenal cancer,/diseases/5751/adrenal-cancer
329,Cushing's syndrome,/diseases/6224/cushings-syndrome
330,Hyperadrenalism,/diseases/8252/hyperadrenalism
331,3-beta-hydroxysteroid dehydrogenase deficiency,/diseases/9152/3-beta-hydroxysteroid-dehydrogenase-deficiency
332,11-beta-hydroxylase deficiency,/diseases/5658/11-beta-hydroxylase-deficiency
333,21-hydroxylase deficiency,/diseases/5757/21-hydroxylase-deficiency
334,Congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency,/diseases/12664/congenital-adrenal-hyperplasia-due-to-cytochrome-p450-oxidoreductase-deficiency
335,X-linked adrenal hypoplasia congenita,/diseases/555/x-linked-adrenal-hypoplasia-congenita
336,Adrenal medulla cancer,/diseases/5755/adrenal-medulla-cancer
337,X-linked adrenoleukodystrophy ,/diseases/5758/x-linked-adrenoleukodystrophy
338,Neonatal adrenoleukodystrophy,/diseases/559/neonatal-adrenoleukodystrophy
339,Childhood-onset cerebral X-linked adrenoleukodystrophy,/diseases/9412/childhood-onset-cerebral-x-linked-adrenoleukodystrophy
340,Adrenomyeloneuropathy,/diseases/10614/adrenomyeloneuropathy
341,Adrenomyodystrophy,/diseases/562/adrenomyodystrophy
342,Retinal vasculopathy with cerebral leukodystrophy,/diseases/1217/retinal-vasculopathy-with-cerebral-leukodystrophy
343,Autosomal dominant tubulointerstitial kidney disease (ADTKD) due to REN mutations,/diseases/13461/autosomal-dominant-tubulointerstitial-kidney-disease-adtkd-due-to-ren-mutations
344,Dermatomyositis,/diseases/6263/dermatomyositis
345,GM1 gangliosidosis type 3,/diseases/2431/gm1-gangliosidosis-type-3
346,Granulosa cell tumor of the ovary,/diseases/8642/granulosa-cell-tumor-of-the-ovary
347,Adult neuronal ceroid lipofuscinosis,/diseases/10973/adult-neuronal-ceroid-lipofuscinosis
348,Autosomal dominant neuronal ceroid lipofuscinosis 4B,/diseases/1222/autosomal-dominant-neuronal-ceroid-lipofuscinosis-4b
349,"Paranasal sinus cancer, adult",/diseases/9354/paranasal-sinus-cancer-adult
350,Adult polyglucosan body disease,/diseases/108/adult-polyglucosan-body-disease
