Ingredient,Approved NDA,Dosage Form
"CHLORDIAZEPOXIDE HYDROCHLORIDE; CLIDINIUM
BROMIDE",N012750,CAPSULE
CHLOROPROCAINE HYDROCHLORIDE,N009435,INJECTABLE
CHROMIC CHLORIDE,N018961,INJECTABLE
"CITRIC ACID; GLUCONOLACTONE; MAGNESIUM
CARBONATE",N019481,SOLUTION
CITRIC ACID; UREA C-13,N021314,"FOR SOLUTION, TABLET, FOR
SOLUTION"
CLINDAMYCIN PHOSPHATE,N050635,INJECTABLE
CLINDAMYCIN PHOSPHATE; TRETINOIN,N050803,GEL
CLOCORTOLONE PIVALATE,N017765,CREAM
CLOZAPINE,N203479,SUSPENSION
CROTAMITON,N006927,CREAM
CUPRIC CHLORIDE,N018960,INJECTABLE
CYCLOPHOSPHAMIDE,N203856,CAPSULE
CYCLOSPORINE,N050625,CAPSULE
DALFOPRISTIN; QUINUPRISTIN,N050748,INJECTABLE
DALTEPARIN SODIUM,N020287,INJECTABLE
DAPSONE,N021794,GEL
DECITABINE,N205582,POWDER
DELAVIRDINE MESYLATE,N020705,TABLET
DESFLURANE,N020118,LIQUID
DESVENLAFAXINE,N204683,"TABLET, EXTENDED RELEASE"
DESVENLAFAXINE,N204150,"TABLET, EXTENDED RELEASE"
DESVENLAFAXINE FUMARATE,N205583,"TABLET, EXTENDED RELEASE"
DEXAMETHASONE; TOBRAMYCIN,N050616,OINTMENT
DEXMEDETOMIDINE HYDROCHLORIDE,N206628,SOLUTION
DEXTROSE,N019445,INJECTABLE
"DEXTROSE; MAGNESIUM ACETATE TETRAHYDRATE;
POTASSIUM ACETATE; SODIUM CHLORIDE",N017385,INJECTABLE
"DEXTROSE; MAGNESIUM ACETATE; POTASSIUM
ACETATE; SODIUM CHLORIDE",N017610,INJECTABLE
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM
CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM
ACETATE",N019873,INJECTABLE
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM
CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC;
SODIUM CHLORIDE; SODIUM LACTATE",N017484,INJECTABLE
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM
CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC;
SODIUM LACTATE; SODIUM PHOSPHATE, MONOBASIC
ANHYDROUS",N019513,INJECTABLE
"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM
CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE;
SODIUM GLUCONATE",N017609,INJECTABLE
DEXTROSE; POTASSIUM CHLORIDE,N017634,INJECTABLE
DEXTROSE; POTASSIUM CHLORIDE,N018371,INJECTABLE
DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE N019630,,INJECTABLE
DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE N018365,,INJECTABLE
DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE N018876,,INJECTABLE
DEXTROSE; SODIUM CHLORIDE,N017606,INJECTABLE
DEXTROSE; SODIUM CHLORIDE,N017799,INJECTABLE
DEXTROSE; SODIUM CHLORIDE,N019631,INJECTABLE
DIATRIZOATE MEGLUMINE; IODIPAMIDE MEGLUMINE,N011324,SOLUTION
DIAZEPAM,N020648,GEL
DIAZOXIDE,N017453,SUSPENSION
DIGOXIN,N021648,ELIXIR
DIGOXIN,N020405,TABLET
DIMERCAPROL,N005939,INJECTABLE
DINOPROSTONE,N020411,"INSERT, EXTENDED RELEASE"
DINOPROSTONE,N017810,SUPPOSITORY
DINOPROSTONE,N019617,GEL
DISOPYRAMIDE PHOSPHATE,N018655,"CAPSULE, EXTENDED RELEASE"
DOCETAXEL,N022234,INJECTABLE
DOCETAXEL,N201195,INJECTABLE
DOCETAXEL,N203551,INJECTABLE
DOLASETRON MESYLATE,N020624,INJECTABLE
DOLASETRON MESYLATE,N020623,TABLET
DOPAMINE HYDROCHLORIDE,N019615,INJECTABLE
DOPAMINE HYDROCHLORIDE,N019099,INJECTABLE
DOXAZOSIN MESYLATE,N021269,"TABLET, EXTENDED RELEASE"
DOXORUBICIN HYDROCHLORIDE,N050629,INJECTABLE
DOXYCYCLINE HYCLATE,N208253,CAPSULE
DROSPIRENONE; ESTRADIOL,N021355,TABLET
ECHOTHIOPHATE IODIDE,N011963,FOR SOLUTION
EDETATE CALCIUM DISODIUM,N008922,INJECTABLE
EFLORNITHINE HYDROCHLORIDE,N021145,CREAM
EMEDASTINE DIFUMARATE,N020706,SOLUTION/DROPS
ENFUVIRTIDE,N021481,INJECTABLE
ENTECAVIR,N021798,SOLUTION
ERYTHROMYCIN ETHYLSUCCINATE,N050207,GRANULE
ESOMEPRAZOLE STRONTIUM,N202342,"CAPSULE, DELAYED RELEASE"
ESTRAMUSTINE PHOSPHATE SODIUM,N018045,CAPSULE
"ESTROGENS, CONJUGATED",N004782,TABLET
"ESTROGENS, CONJUGATED",N010402,INJECTABLE
ETHANOLAMINE OLEATE,N019357,INJECTABLE
ETHIONAMIDE,N013026,TABLET
ETOPOSIDE PHOSPHATE,N020457,INJECTABLE
EZOGABINE,N022345,TABLET
FENOFIBRATE,N021612,CAPSULE
FENOPROFEN CALCIUM,N017604,CAPSULE
FLUORESCEIN SODIUM,N022186,INJECTABLE
FLUOROURACIL,N016988,CREAM
FLUOXETINE HYDROCHLORIDE,N202133,TABLET
FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,N021077,POWDER
FOSFOMYCIN TROMETHAMINE,N050717,FOR SUSPENSION
GUAIFENESIN; HYDROCODONE BITARTRATE,N022424,SOLUTION
"GUAIFENESIN; HYDROCODONE BITARTRATE;
PSEUDOEPHEDRINE HYDROCHLORIDE",N022279,SOLUTION
HALCINONIDE,N017556,CREAM
HALCINONIDE,N017824,OINTMENT
HEPARIN SODIUM,N019339,INJECTABLE
HEPARIN SODIUM,N018916,INJECTABLE
HYDROCHLOROTHIAZIDE; METOPROLOL SUCCINATE,N021956,"TABLET, EXTENDED RELEASE"
HYDROCHLOROTHIAZIDE; SPIRONOLACTONE,N012616,TABLET
"HYDROXYAMPHETAMINE HYDROBROMIDE;
TROPICAMIDE",N019261,SOLUTION/DROPS
HYDROXYUREA,N016295,CAPSULE
ILOPROST,N021779,SOLUTION
INDOMETHACIN,N022536,INJECTABLE
IODIXANOL,N020351,INJECTABLE
IOFLUPANE I-123,N022454,SOLUTION
LEUPROLIDE ACETATE,N019732,INJECTABLE
LEUPROLIDE ACETATE,N020011,INJECTABLE
LEUPROLIDE ACETATE,N020263,INJECTABLE
LEUPROLIDE ACETATE,N020708,INJECTABLE
LEUPROLIDE ACETATE,N020517,INJECTABLE
LEVOLEUCOVORIN CALCIUM,N208723,POWDER
L-GLUTAMINE,N021667,FOR SOLUTION
LINEZOLID,N206473,SOLUTION
LODOXAMIDE TROMETHAMINE,N020191,SOLUTION/DROPS
LOMUSTINE,N017588,CAPSULE
LOTEPREDNOL ETABONATE; TOBRAMYCIN,N050804,SUSPENSION/DROPS
"MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",N019696,INJECTABLE
"MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE;
SODIUM ACETATE; SODIUM CHLORIDE; SODIUM
GLUCONATE",N017637,SOLUTION
"MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE;
SODIUM ACETATE; SODIUM CHLORIDE; SODIUM
GLUCONATE",N017586,INJECTABLE
"MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE;
SODIUM ACETATE; SODIUM CHLORIDE; SODIUM
GLUCONATE",N019024,SOLUTION
"MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE;
SODIUM ACETATE; SODIUM CHLORIDE; SODIUM
GLUCONATE",N019711,INJECTABLE
"MAGNESIUM CHLORIDE; SODIUM BICARBONATE;
SODIUM CHLORIDE",N021910,SOLUTION
MAGNESIUM SULFATE,N020488,INJECTABLE
MAGNESIUM SULFATE,N019316,SOLUTION
"MAGNESIUM SULFATE; POTASSIUM SULFATE; SODIUM
SULFATE",N204553,POWDER
MANGANESE CHLORIDE,N018962,INJECTABLE
MECHLORETHAMINE HYDROCHLORIDE,N006695,INJECTABLE
MEDROXYPROGESTERONE ACETATE,N012541,INJECTABLE
MEROPENEM,N202106,POWDER
MESALAMINE,N020049,"CAPSULE, EXTENDED RELEASE"
MESNA,N020855,TABLET
METHACHOLINE CHLORIDE,N019193,FOR SOLUTION
METHADONE HYDROCHLORIDE,N006383,POWDER
METHADONE HYDROCHLORIDE,N021624,INJECTABLE
METHOHEXITAL SODIUM,N011559,INJECTABLE
METHOTREXATE,N204824,SOLUTION
METRONIDAZOLE,N020743,CREAM
MIGLUSTAT,N021348,CAPSULE
MITOTANE,N016885,TABLET
MIVACURIUM CHLORIDE,N020098,SOLUTION
MOMETASONE FUROATE,N205641,"AEROSOL, METERED"
MORPHINE SULFATE,N019916,INJECTABLE
MORPHINE SULFATE,N201517,SOLUTION
MORPHINE SULFATE,N202515,INJECTABLE
MORPHINE SULFATE,N022207,TABLET
MORPHINE SULFATE,N020616,"CAPSULE, EXTENDED RELEASE"
MOXIFLOXACIN HYDROCHLORIDE,N205572,SOLUTION
MUPIROCIN CALCIUM,N050703,OINTMENT
NABILONE,N018677,CAPSULE
NAFCILLIN SODIUM,N050655,INJECTABLE
NAFTIFINE HYDROCHLORIDE,N019356,GEL
NELARABINE,N021877,INJECTABLE
NELFINAVIR MESYLATE,N020779,TABLET
NELFINAVIR MESYLATE,N021503,TABLET
NEOSTIGMINE METHYLSULFATE,N203629,SOLUTION
NICARDIPINE HYDROCHLORIDE,N022276,INJECTABLE
NICOTINE,N020385,"SPRAY, METERED"
NITAZOXANIDE,N021497,TABLET
NITROGLYCERIN,N020145,"FILM, EXTENDED RELEASE"
NITROGLYCERIN,N021780,"AEROSOL, METERED"
OCTREOTIDE ACETATE,N021008,INJECTABLE
OLSALAZINE SODIUM,N019715,CAPSULE
OXACILLIN SODIUM,N050640,INJECTABLE
OXICONAZOLE NITRATE,N020209,LOTION
OXYMETHOLONE,N016848,TABLET
PALONOSETRON HYDROCHLORIDE,N207963,SOLUTION
PENICILLAMINE,N019854,TABLET
PENICILLAMINE,N019853,CAPSULE
PENICILLIN G BENZATHINE; PENICILLIN G PROCAINE,N050138,INJECTABLE
PENICILLIN G POTASSIUM,N050638,INJECTABLE
PENTAMIDINE ISETHIONATE,N019887,FOR SOLUTION
PENTAZOCINE LACTATE,N016194,INJECTABLE
PENTETATE CALCIUM TRISODIUM,N021749,SOLUTION
PENTETATE ZINC TRISODIUM,N021751,SOLUTION
PENTOSAN POLYSULFATE SODIUM,N020193,CAPSULE
PHENYLEPHRINE HYDROCHLORIDE,N204300,SOLUTION
PHENYLEPHRINE HYDROCHLORIDE,N207926,SOLUTION/DROPS
PHENYLEPHRINE HYDROCHLORIDE,N203826,SOLUTION
PHYTONADIONE,N010104,TABLET
PODOFILOX,N020529,GEL
POLIDOCANOL,N021201,SOLUTION
"POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE;
SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM
SULFATE ANHYDROUS",N019011,FOR SOLUTION
POTASSIUM CHLORIDE,N206814,SOLUTION
POTASSIUM CHLORIDE,N208019,FOR SOLUTION
POTASSIUM CHLORIDE; SODIUM CHLORIDE,N017648,INJECTABLE
POVIDONE-IODINE,N018634,SOLUTION/DROPS
PRALIDOXIME CHLORIDE,N018986,INJECTABLE
PRALIDOXIME CHLORIDE,N014134,INJECTABLE
PRAZIQUANTEL,N018714,TABLET
PROCARBAZINE HYDROCHLORIDE,N016785,CAPSULE
PROGESTERONE,N020701,GEL
PYRIDOSTIGMINE BROMIDE,N015193,SYRUP
PYRIMETHAMINE,N008578,TABLET
QUINIDINE GLUCONATE,N007529,INJECTABLE
RABEPRAZOLE SODIUM,N204736,"CAPSULE, DELAYED RELEASE"
RITONAVIR,N020659,SOLUTION
ROPIVACAINE HYDROCHLORIDE,N020533,SOLUTION
SAQUINAVIR MESYLATE,N020628,CAPSULE
SAQUINAVIR MESYLATE,N021785,TABLET
SELEGILINE HYDROCHLORIDE,N021479,"TABLET, ORALLY"
SILDENAFIL CITRATE,N203109,FOR SUSPENSION
SODIUM ACETATE ANHYDROUS,N018893,INJECTABLE
SODIUM CHLORIDE,N202832,INJECTABLE
SODIUM CHLORIDE,N019319,SOLUTION FOR SLUSH
SODIUM CHLORIDE,N018897,INJECTABLE
SODIUM CHLORIDE,N019635,INJECTABLE
SODIUM CHLORIDE,N021569,INJECTABLE
SODIUM IODIDE I-131,N021305,CAPSULE
SODIUM IODIDE I-131,N021305,SOLUTION
SODIUM IODIDE I-131,N016515,SOLUTION
SODIUM IODIDE I-131,N016517,CAPSULE
SODIUM LACTATE,N018947,INJECTABLE
"SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE;
SODIUM PHOSPHATE, MONOBASIC, ANHYDROUS",N018892,INJECTABLE
SORBITOL,N017863,SOLUTION
SORBITOL,N016741,SOLUTION
SOTALOL HYDROCHLORIDE,N022306,SOLUTION
STREPTOZOCIN,N050577,INJECTABLE
SUCRALFATE,N019183,SUSPENSION
TAZAROTENE,N021184,CREAM
TAZAROTENE,N020600,GEL
TESTOSTERONE,N020489,"FILM, EXTENDED RELEASE"
TETRACAINE HYDROCHLORIDE,N208135,SOLUTION
THIOGUANINE,N012429,TABLET
TIAGABINE HYDROCHLORIDE,N020646,TABLET
TIOPRONIN,N019569,TABLET
TOREMIFENE CITRATE,N020497,TABLET
TRAMADOL HYDROCHLORIDE,N022370,"CAPSULE, EXTENDED RELEASE"
TRETINOIN,N020475,GEL
TRIAMCINOLONE HEXACETONIDE,N016466,INJECTABLE
TRIAMTERENE,N013174,CAPSULE
TRIENTINE HYDROCHLORIDE,N019194,CAPSULE
TRIMETHOPRIM HYDROCHLORIDE,N074973,SOLUTION
TRIPTORELIN PAMOATE,N021288,INJECTABLE
TRIPTORELIN PAMOATE,N022437,INJECTABLE
TRIPTORELIN PAMOATE,N020715,INJECTABLE
TROMETHAMINE,N013025,INJECTABLE
TRYPAN BLUE,N022278,SOLUTION
TRYPAN BLUE,N021670,SOLUTION
VANCOMYCIN HYDROCHLORIDE,N050671,INJECTABLE
VERAPAMIL HYDROCHLORIDE,N019614,"CAPSULE, EXTENDED RELEASE"
VERTEPORFIN,N021119,INJECTABLE
VIGABATRIN,N020427,TABLET
ZILEUTON,N020471,TABLET
ZIPRASIDONE MESYLATE,N020919,INJECTABLE
ZOLEDRONIC ACID,N204016,SOLUTION
ACETOHYDROXAMIC ACID,N018749,TABLET
ALBUMIN IODINATED I-125 SERUM,N017836,INJECTABLE
ALBUMIN IODINATED I-131 SERUM,N017837,INJECTABLE
ALITRETINOIN,N020886,GEL
ALPROSTADIL,N020649,INJECTABLE
ALPROSTADIL,N021212,INJECTABLE
ALPROSTADIL,N020379,INJECTABLE
ALTRETAMINE,N019926,CAPSULE
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE;
MAGNESIUM SULFATE; POTASSIUM CHLORIDE;
SODIUM ACETATE; SODIUM GLYCEROPHOSPHATE;
SOYBEAN OIL",N200656,EMULSION
ATROPINE,N017106,INJECTABLE
ATROPINE; PRALIDOXIME CHLORIDE,N021983,INJECTABLE
BACLOFEN,N022462,INJECTABLE
BECLOMETHASONE DIPROPIONATE MONOHYDRATE,N019389,"SPRAY, METERED"
BERACTANT,N020032,SUSPENSION
BEXAROTENE,N021056,GEL
BUDESONIDE,N205613,"AEROSOL, FOAM"
CALCITRIOL,N022087,OINTMENT
CALFACTANT,N020521,SUSPENSION
CARMUSTINE,N020637,IMPLANT
CARMUSTINE,N017422,INJECTABLE
CHLORHEXIDINE GLUCONATE,N020774,TABLET
CHLOROTHIAZIDE,N011870,SUSPENSION
CIPROFLOXACIN HYDROCHLORIDE,N020369,OINTMENT
CIPROFLOXACIN HYDROCHLORIDE,N021918,SOLUTION/DROPS
CIPROFLOXACIN HYDROCHLORIDE; HYDROCORTISONE,N020805,SUSPENSION/DROPS
COLESTIPOL HYDROCHLORIDE,N017563,GRANULE
"COLISTIN SULFATE; HYDROCORTISONE ACETATE;
NEOMYCIN SULFATE; THONZONIUM BROMIDE",N050356,SUSPENSION/DROPS
COPPER,N018680,INTRAUTERINE DEVICE
CORTICORELIN OVINE TRIFLUTATE,N020162,INJECTABLE
CORTICOTROPIN,N008372,INJECTABLE
CYSTEAMINE BITARTRATE,N020392,CAPSULE
CYTARABINE,N021041,"INJECTABLE, LIPOSOMAL"
DESIRUDIN RECOMBINANT,N021271,INJECTABLE
DESMOPRESSIN ACETATE,N020355,"SPRAY, METERED"
DIATRIZOATE MEGLUMINE,N010040,INJECTABLE
DIATRIZOATE MEGLUMINE,N010040,SOLUTION
DIHYDROERGOTAMINE MESYLATE,N020148,"SPRAY, METERED"
DOXEPIN HYDROCHLORIDE,N020126,CREAM
DOXYCYCLINE CALCIUM,N050480,SUSPENSION
DOXYCYCLINE HYCLATE,N050751,"SYSTEM, EXTENDED RELEASE"
ERYTHROMYCIN,N050584,OINTMENT
ERYTHROMYCIN,N050611,"TABLET, COATED PARTICLES"
ESTRADIOL,N022038,GEL
ESTRADIOL,N020472,"INSERT, EXTENDED RELEASE"
ESTRADIOL,N021166,"GEL, METERED"
ESTRADIOL,N020655,"FILM, EXTENDED RELEASE"
ESTRADIOL ACETATE,N021367,"INSERT, EXTENDED RELEASE"
ESTRADIOL HEMIHYDRATE,N021371,EMULSION
ESTRADIOL; LEVONORGESTREL,N021258,"FILM, EXTENDED RELEASE"
ESTRADIOL; NORETHINDRONE ACETATE,N020870,"FILM, EXTENDED RELEASE"
"ESTROGENS, CONJUGATED",N020216,CREAM
"ESTROGENS, CONJUGATED; MEDROXYPROGESTERONE
ACETATE",N020527,TABLET
ETHOTOIN,N010841,TABLET
FERRIC HEXACYANOFERRATE(II),N021626,CAPSULE
FERRIC PYROPHOSPHATE CITRATE,N206317,SOLUTION
FERRIC PYROPHOSPHATE CITRATE,N208551,FOR SOLUTION
FLUNISOLIDE,N021247,"AEROSOL, METERED"
FLUOCINOLONE ACETONIDE,N020001,SHAMPOO
FLUOROMETHOLONE,N019216,SUSPENSION/DROPS
FLUOROMETHOLONE,N017760,OINTMENT
FLUOROMETHOLONE ACETATE,N019079,SUSPENSION/DROPS
FLURANDRENOLIDE,N012806,CREAM
FLURANDRENOLIDE,N012806,OINTMENT
FLURANDRENOLIDE,N016455,TAPE
FLUTICASONE PROPIONATE,N020833,POWDER
FOLLITROPIN ALFA/BETA,N021765,INJECTABLE
GADOBENATE DIMEGLUMINE,N021358,INJECTABLE
GADOBENATE DIMEGLUMINE,N021357,INJECTABLE
GADOBUTROL,N201277,SOLUTION
GADODIAMIDE,N020123,INJECTABLE
GADODIAMIDE,N022066,INJECTABLE
GADOPENTETATE DIMEGLUMINE,N021037,INJECTABLE
GADOPENTETATE DIMEGLUMINE,N019596,INJECTABLE
GADOTERIDOL,N020131,INJECTABLE
GADOTERIDOL,N021489,INJECTABLE
GADOVERSETAMIDE,N020975,INJECTABLE
GADOVERSETAMIDE,N020937,INJECTABLE
GADOVERSETAMIDE,N020976,INJECTABLE
