Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Schwartz Jampel syndrome,"Treatment of SJS aims to reduce muscle stiffness and cramping and may include massage, muscle warming, and gradual strengthening exercises. Medications might also be used and may include muscle relaxants and anti-seizuremedications, particularlycarbamazepine.Botoxmight additionally be used to relieve eye symptoms such asblepharospasm. If Botox is not successful in managing eye symptoms, a variety of surgical techniques have been found to be effective. When considering surgery as an option, an important consideration ismalignant hyperthermia, an associated complication, that can increase the risk of adverse outcomes.[3][7]"
Congenital extrahepatic portosystemic shunt,"Becausecongenitalextrahepatic portosystemic shunts (CEPS) are rare, there are no guidelines for standard treatment of this condition.[2]Treatment is determined on an individual basis and depends on the type of CEPS.  In type I CEPS,liver transplantationis thought to be the only treatment.  Type II CEPS can be treated with surgery to close the connection between the hepatic portal vein and the hepatic vein, which would redirect bloodflow through the normal blood vessels within the liver.[1]"
Abetalipoproteinemia,"Anutritionistor other qualified medical professional should be consulted for specific dietary instruction in people with abetalipoproteinemia. Treatment involves very large doses of vitamin E, as well as large doses of vitamin supplements containing other fat-soluble vitamins (vitamin A, vitamin D, and vitamin K). Linoleic acid supplements  are also recommended.[3][2]Several diet changes and/or restrictions are also needed to prevent stomach problems. A low-fat diet may help with digestive symptoms; medium chain triglycerides may be used (under supervision of a specialist) as a source of fat in the diet.[3]Management in adults typically focuses on specific complications associated with the disorder, and depends on the signs and symptoms present. Affected people may need consultations with several other types of specialists, including a lipidologist,gastroenterologist,hepatologist,ophthalmologist, andneurologist.[2]"
Asternia,"Asternia is treated with surgery.  Surgery may be recommended to prevent breathing difficulty and to protect theorgansin the chest, particularly the heart.[1][2][5842]  The type of surgery depends on the size of the gap between the ribs and the age of the affected individual.[2]Ideally, surgery consists of closing the gap by connecting the existing bones of the chest; this is best done while the affected individual is very young.[1][5842]  For older individuals or those with a wide space between the existing bones, surgery may include placing extra material (aprosthesis, made ofcartilageor bone from another part of the body orsynthetic/man-made materials) to fill the gap.[1][2]"
Isobutyryl-CoA dehydrogenase deficiency,"There is no standard treatment protocol for IBD deficiency. Infants diagnosed throughnewborn screeningare encouraged to work with ametabolic diseasespecialist and a dietician experienced in metabolic disorders. Some treatments may be recommended even if no symptoms have been observed. Treatment may be needed throughout life. The following treatments may be recommended for some babies and children with IBD deficiency.[3]Children with IBD deficiency may be helped by takingL-carnitine, a safe and natural substance which helps the body'scellsmake energy and get rid of harmful wastes. L-carnitine may also help to prevent or treat the heart problems andanemiaseen in children with IBD deficiency.Some infants and children with IBD deficiency may be advised to avoid fasting. Going without food for a long time causes the body to use its stores of fat andproteinfor energy. In some people with IBD deficiency, this may lead to the build up of harmful substances in the blood. Eating frequently (every 4 to 6 hours) may help to avoid these health effects.While most children with IBD deficiency do fine without a change in diet, a low-valine food plan might be necessary. Valine is found in all foods with protein. Foods high in valine, such as dairy products, meat, poultry, fish, eggs, dried beans and legumes, nuts and peanut butter should be limited. There are medical foods such low-protein flours, pastas, rice, and special formulas that are made especially for people with organic acid disorders. Your dietician / physician can advise you on whether you should use these foods to supplement your child’s diet."
Short-chain acyl-CoA dehydrogenase deficiency,Treatment of short-chain acyl-CoA dehydrogenase (SCAD) deficiency usually consists of avoidance of fasting and a low fat diet. Supplemental carnitine may be recommended for some affected children during acute crises. Episodes of acute metabolic acidosis may be treated with intravenous hydration with a solution containing 10% glucose which can reestablish an anabolic state. This can be followed by reintroduction of the patient's usual diet.[2]
Chorea-acanthocytosis,"There are currently no treatments to prevent or slow the progression of chorea-acanthocytosis; treatment is symptomatic and supportive.[2]Management may include:botulinum toxinfor decreasing the oro-facio-lingualdystonia; feeding assistance; speech therapy; mechanical protective devices; splints for foot drop;phenytoin, clobazam, andvalproateforseizuremanagement; antidepressant or antipsychotic medications; dopamine antagonists such as atypical neuroleptics or tetrabenazine; and standard treatment forcardiomyopathy. Surveillance includes monitoring of nutritional status and adaptation of diet to assure adequate caloric intake, cardiac evaluations every five years, andEEGevery third year.[3]"
Acanthoma,"Acanthomas are consideredbenign, but treatment may be done for cosmetic reasons or to relieve any associated symptoms.[2][3]Because acanthomas are quite rare, there are no established guidelines for treatment.  Treatment may depend on the type, number, and location of acanthomas.  For example, a single acanthoma may be removed by surgery, whereas multiple acanthomas may be treated withcryosurgeryor the use of the medicationfluorouracilcream.[2]"
Acanthosis nigricans,"There is no specific treatment for AN. Treatments are used mostly to improve cosmetic appearance and includetopical retinoids,  vitamin D creams (such ascalcipotriol),dermabrasionand laser therapy. Oral retinoid pills have also been used to treat AN, but are not used for most patients because of the multiple side effects and development problems associated with the treatment.
Treatment may also focus on trying to correct the underlying disease that causes AN to develop. Often correcting the underlying disease improves the skin symptoms.  Some steps that can be taken depending on the underlying disease include: correctinghyperinsulinaemiathrough diet and medication, losing weight with obesity-associated AN, removing or treating atumor, or stopping medications that cause AN.[2][3]"
Proud syndrome,"The treatment of Proudsyndromeis based on the signs and symptoms present in each person. For example,spasticitymay be treated with a variety of therapies including medications and/orphysical therapy.[4]Medications may be prescribed to help prevent and/or control recurrentseizures. Surgery may be required to treat certain physical abnormalities such as kidney or genital issues. Children with severeintellectual disabilitymay benefit from special education services.For personalized information about the treatment and management of Partington syndrome, please speak to a healthcare provider."
Accessory navicular bone,"If the accessory navicular bone is causing symptoms, activities may be restricted and a softer shoe may be recommended until the symptoms go away. If the symptoms persist, a specially and carefully made shoe support may be tried.  For people with accessory navicular bone who experience severe symptoms, surgery may be considered to remove the bony growth. Other treatments may include medications such asnonsteroidal anti-inflammatories(NSAIDs), immobilizing the area with a cast or boot, andphysical therapy.[4]"
Supernumerary nipple,"Most people do not need any treatment for a supernumerary nipple.[2]Removal via surgery or another technique may be considered for cosmetic purposes or if there are symptoms that cause discomfort, such as lactation or tenderness.[3]A thorough work-up for other malformations typically is not needed in a person with a supernumerary nipple who is otherwise healthy. However, a work-up may be recommended if a person has:[1]a supernumerary nipple accompanied by additional minor malformationsa prominent ectopic (abnormally-positioned) supernumerary nipplean establishedfamily historyof supernumerary nipplesPhysical exams andmammographyof ectopic breasttissueshould occur at the frequency recommended for normal breast tissue in any particular person.[1]Supernumerary nipples can undergo similar diseases to normal breast tissue.[3]"
ACDC,"Due to the rarity of this condition, there is very limited information available in the medical literature. We are not aware of specific treatment recommendations for ACDC, or of any therapies currently known to be effective. One affected individual reportedly was treated with surgeries to reroute blood flow through alternate vessels and had a joint amputation in the foot.[3]Several possible future therapies have been proposed.[1]Research is currently under way to investigate possible treatment options.The U.S. National Institutes of Health, through the National Library of Medicine, developedClinicalTrials.govto provide patients, family members, and members of the public with current information on clinical research studies.Click here to find trials relating to ACDC. This site may be checked often for new studies, as it is updated regularly."
Achondroplasia,"Recommendations for management of children with achondroplasia were outlined by the American Academy of Pediatrics Committee on Genetics in the article,Health Supervision for Children with Achondroplasia. We recommend that you review this article with your child’s health care provider(s). These recommendations include:[2]• Monitoring of height, weight, and head circumference using growth curves standardized for achondroplasia• Measures to avoid obesity starting in early childhood.• Careful neurologic examinations, with referral to a pediatricneurologistas necessary•MRIor CT of the foramen magnum region for evaluation of severehypotoniaor signs of spinal cord compression• Obtaining history for possible sleep apnea, with sleep studies as necessary• Evaluation for low thoracic or high lumbar gibbus if truncal weakness is present• Referral to a pediatricorthopedistif bowing of the legs interferes with walking• Management of frequent middle-ear infections• Speech evaluation by age two years• Careful monitoring of social adjustmentThe GeneReview article on achondroplasia also provides information on medical management.http://www.ncbi.nlm.nih.gov/books/NBK1152/#achondroplasia.Management"
Idiopathic achalasia,"The aim of treatment is to reduce the pressure at the lower esophageal sphincter. Therapy may involve:[4][6][5]Injection withbotulinum toxin(Botox) to help relax the sphincter muscles (used as a temporary fix)Medications, such as long-acting nitrates (i.e.isosorbide dinitrate) or calcium channel blockers (i.e.nifedipine), to relax the lower esophagus sphincterSurgery (Heller myotomy) to decrease the pressure in the lower sphincterPneumatic balloon dilation of the esophagus at the location of the narrowing (done duringesophagogastroduodenoscopy)You can learn more about these treatment options by clicking on the following links:eMedicine Esophageal Motility DisordersMerck Manuals Motility DisordersA doctor should help to determine the best treatment for each individual situation.[4]"
Glycogen storage disease type 2,"Individuals with glycogen storage disease type 2 are best treated by a team of specialists (such ascardiologist,neurologist, and respiratory therapist) knowledgeable about the disease, who can offer supportive and symptomatic care.  The discovery of the GAAgenehas led to rapid progress in understanding the biological mechanisms and properties of the GAAenzyme.  As a result, an enzyme replacement therapy has been developed that has shown, inclinical trialswith infantile-onset patients, to decrease heart size, maintain normal heart function, improve muscle function, tone, and strength, and reduce glycogen accumulation.  A drug called alglucosidase alfa (Myozyme©) has received FDA approval for the treatment of glycogen storage disease type 2. Myozyme is a form of GAA—the enzyme that is absent or reduced in this condition. The drug is usually administered via intravenous infusion every other week. Myozyme has been remarkably successful in reversing cardiac muscle damage and in improving life expectancy in those with the infantile form of the disease.[1][3]To find out more information on Myozyme, please visit the following link:http://www.myozyme.com/. Another alglucosidase alfa drug called Lumizyme has also been approved for the treatment of this condition.[4]More information about Lumizyme can be accessed through the following link:http://www.lumizyme.com/patients.aspx."
Methylmalonic acidemia,"No consensus exists regarding the treatment of acute methylmalonic acidmeia or the chronic complications of this condition. In 2014, professionals across 12 European countries and the United States developed guidelines based on rigorous literature evaluation and expert group meetings that outline the current management recommendations and areas for further research. Visit the following link to access the proposed guidelines.https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4180313/In general, methylmalonic acidemia is treated with a low-protein, high-calorie diet, certain medications,antibioticsand, in some cases,organtransplantation. Medication treatment consists of cobalamin (vitamin B12) given as an injection, carnitine and antibiotics. The diet is protein-restricted to limit the intake of isoleucine, threonine, methionine, and valine because these substances can turn into methylmalonic acid in an affected patient. Most patients also need to take a special formula created without certainamino acidsbut containing others to make sure they are getting enough protein for growth. Each patient's diet and medication regimen should be individually adjusted to meet their specific needs.[3]"
Hidradenitis suppurativa,"There is no known cure or a consistently effective treatment. Initial treatments may involve conservative measures such as warm baths, hydrotherapy, and topical cleansing agents to reduce bacterial loads. Acute painful skin lesions may be treated withcorticosteroids(e.g.,prednisone) or anti-inflammatory pills (e.g.,Celebrex,Advil,Naproxen, and others). Although not proven to be effective,antibioticsare often the mainstay of medical treatment, especially for lesions suspected of being super infected. Affected individuals may also be treated withoral contraceptivesor other medications that address a possible hormonal cause. Oral retinoids such asisotretinoinhave also been used. Other treatments that have been used with limited success includecisplatin,methotrexate, 5-alpha reductase inhibitors, and TNF-alpha inhibitors.[1][5][7]In advanced cases, affected individuals may undergo surgery (e.g.,laser therapyorphotodynamic therapy), but recurrences of HS are not uncommon. Systemic therapies are still being researched. The goals of these therapies are to heal existing lesions and prevent the development of new lesions in the areas potentially affected by the disease.[1][5][7]"
Neurofibromatosis type 2,"People with neurofibromatosis type 2 (NF2) are generally monitored periodically for the development of associatedtumorsand other health problems. This may include anMRIof the brain and spinal cord; hearing and speech evaluations; and an eye exam.[2][1]The treatment of NF2 depends on the signs and symptoms present in each person. For example,vestibular schwannomasare typically slow-growing tumors so they may be observed for a period of time before treatment becomes necessary. When they begin to cause symptoms, vestibular schwannomas are usually treated with surgery and less frequently, withradiation therapy. Other tumors associated with NF2 are also treated surgically, althoughchemotherapyand/or radiation therapy may also be recommended in rare circumstances.[2][1]Hearing preservation and augmentation are also important in the management of people with NF2.[1]Medscape Reference'sWeb site offers more specific information on the treatment and management of NF2. Please click on the link to access this resource."
Landau-Kleffner syndrome,"The treatment for Landau-Kleffnersyndromemay vary depending on the specific symptoms present in each person. Children who haveseizuresmay be prescribed anticonvulsant medications andcorticosteroidsmay be recommended.[1]In some cases,immunotherapymay improve speech and seizures.[9]In rare cases in which other treatment options for seizures have not been successful, a surgery calledmultiple subpial transectionmay help to relieve seizures.[2]Speech therapy should be initiated as soon as possible to help children regain speech.[1]Speech therapistsmay also recommend helping children learnsign languageto help them find new ways to communicate.[4]Special educationmay also be necessary in some cases.[4]"
Epidermolysis bullosa acquisita,"Treatment of EBA may require a multidisciplinary team of doctors. Affected individuals with involvement of the gastrointestinal tract should be referred to agastroenterologist. Likewise, dentists andophthalmologistsshould be consulted for those with oral and ocular (eye) involvement. Medications used to treat EBA include oralcorticosteroids(such asprednisone), anti-inflammatory agents (such asdapsoneorcolchicine), and medications that suppress theimmune system(such asazathioprineorcyclophosphamide). Patients who are on long-term oral steroid treatment may be advised to take calcium, vitamin D, and, perhaps,bisphosphonatesto reduce the risk ofosteoporosisthat can be associated with steroid use.Extracorporeal photochemotherapy(photophoresis) has been shown to be effective in some cases. In patients who do not respond to other therapies, medications such asrituximabmay be considered. Patients with EBA should avoid contact sports and direct physical trauma to the skin whenever possible and may be instructed to use protective pads to cover skin surfaces when undergoing planned physical activities. Patients with oral involvement should avoid hard foods such as pretzels, nuts, and chips. Patients with EBA should be monitored regularly by physicians with experience in treating autoimmune skin disease. During the active disease stage, patients should be monitored on a monthly basis; when inremission, patients should be monitored annually.[5]"
SAPHO syndrome,There is no specific treatment plan for SAPHOsyndrome. It can be a chronic condition but sometimes eventually heals on its own. Joint pain may be managed with nonsteroidal anti-inflammatory drugs and prescription vitamin A is used to treat the acne.Other drugs that may be used include:ColchicineTopical corticosteroidsSystemic corticosteroidsMethotrexateCalcitoninBisphosphonatesInfliximabEtanercept.[1]
Isaacs' syndrome,"The treatment of Isaacs'syndromeis based on the signs and symptoms present in each person. For example, anticonvulsant medications such asphenytoinandcarbamazepinemay be prescribed to relieve stiffness, muscle spasms, and pain. Plasma exchange may provide short-term relief for people with some forms of acquired Isaacs' syndrome. Plasma exchange is a method by which whole blood is removed from the body and processed so that the red andwhite blood cellsare separated from the plasma (liquid portion of the blood). The bloodcellsare then returned to the patient without the plasma, which the body quickly replaces. If there is no response or poor response to plasma exchange, some studies suggest that intravenous infusions of immunoglobulins (IvIg therapy) may be beneficial.[1][3]"
Acquired pure red cell aplasia,"The main goals of treatment for pure redcellaplasia (PRCA) are to restore the production ofred blood cells, maintain adequate hemoglobin levels, and treat underlying disorders that may be causing the condition. The initial treatment plan typically includesblood transfusionsfor individuals who are severelyanemicand have cardiorespiratory failure.[2]PRCA due to medication or infections is usually reversible within a few months. Therefore, medications that may be causing the condition should be discontinued, and infections that may cause the condition should be treated.[2]Underlying conditions that may cause PRCA such as athymoma, hematologicalcancers, solidtumors, andsystemic lupus erythematosus(SLE) should be treated as necessary as well.[2]When the condition is idiopathic (of unknown cause) or due to anautoimmune disorder, PRCA is typically initially treated withcorticosteroids.[2]It has been reported that individuals who seem to be resistant to treatment may respond to a single course ofintravenous immunoglobulin(IVIG,) while others have responded to a single dose. In the United States, financial issues may make it difficult to obtain this treatment because IVIG is expensive and is not approved by the Food and Drug Administration to treat PRCA.[3]Additional and more detailed information about the management of acquired PRCA may be found on eMedicine's web site and can be viewed by clickinghere."
Autoimmune pulmonary alveolar proteinosis,"The treatment of PAP varies from case to case depending upon the form of PAP and the age of an affected individual and severity of the disease.  About one-third of individuals with idiopathic PAP (of unknown cause) will improve without treatment (spontaneousremission).Patients with moderate or severe respiratory problems due to autoimmune PAP can be treated by a whole lung lavage, a procedure in which one lung is cleansed with a salt solution while the other is pumped with pure oxygen. In some cases, the procedure may need to be performed once; in others it may need to be repeated many times over several years.[1]Generally, one lung is lavaged in the first procedure, followed by lavage of the opposite lung one to two weeks later.[1][3]A treatment using recombinant granulocyte macrophage-colony stimulating factor (GM-CSF) given by nose, or with a subcutaneous injection is not approved for use in autoimmune PAP yet, but soon may be an effective option.[1][3][4]Lung transplantation has been used to treat adults with PAP as a last resort. According to the medical literature, in some cases, PAP has recurred in adults who have received lung transplantation.[1]Treatment options for patients with secondary and hereditary PAP are less clear and depend in part on the specific cause.In secondary PAP, removal and avoidance of the causative agent (e.g., silica exposure) or treatment of the underlying disorder may improve symptoms.[1]For neonates with severecongenitalPAP, lung transplantation is the only treatment that appears to improve outcome.[4][5]"
Acral peeling skin syndrome,"There is no cure for acral peeling skinsyndrome.[4][5]Treatment is centered on preventing skin damage and addressing symptoms as they occur.[5]Emollients are often used to reduce skin peeling.[4]If blister develop, they may be lanced with a sterile needle. Light dressings should be applied to prevent infection. The condition may be made worse by hot temperatures, high humidity, and friction. Individuals with acral peeling skin syndrome should avoid these condition, when possible.[5]Immersion in water should also be avoided.[4]Additional treatment information and tips for daily living are available through theInformation Leaflet for Parents/Carerswhich was developed by the Birmingham Children's Hospital NHS Foundation Trust."
Apert syndrome,Treatment for Apertsyndromemay vary depending on the specific symptoms  in each person. Brain surgery may help to relieve the pressure created by thecraniosynostosis. A team of specialists may work with a child with Apert syndrome to plan other surgeries to help treat the facial abnormalities and the fusion of the fingers or toes. People with Apert syndrome will need to be closely monitored throughout life to treat any symptoms that arise.[4]
Nager acrofacial dysostosis,"In infants with Nager acrofacial dysostosis who experience respiratory distress require immediate attention and may require a tracheostomy.  A tracheostomy is a surgical procedure on the neck that opens a direct airway through an incision in the windpipe.Infants with feeding difficulties may require surgery and/or placement of a feeding tube (gastrostomy). Surgery can be performed to repaircleft palateand oftenmicrognathia. Cosmetic surgery, especially for eyelids, can be performed to ensure complete closure of eyelids at night in order to prevent injury of the cornea.[2]Surgical treatment is best accomplished at a craniofacial center with expertise in plastic surgery, otolaryngology, orthodontics, and dentistry.[4]Hearing aids for individuals withconductive hearing lossshould be offered.[2]"
Acromicric dysplasia,Treatment of acromicric dysplasia focuses on the specific signs and symptoms that are present in each individual; it is generally symptomatic and supportive.[3]Theprognosisfor affected individuals is good; no major complications appear to occur in the course of the disease and life expectancy is normal.[1]
Duane-radial ray syndrome,"The treatment of DRRS may vary and often requires a team of specialists. Severestrabismusassociated with Duanesyndromeand malformations of the hands and forearms may require eye surgery. Individuals with heart defects may also require corrective surgery. Hearing aids may be needed for those with hearing deficits. Growthhormone therapymay additionally be considered for individuals withshort stature. Since kidney issues may develop, renal monitoring should also be considered.[2]"
Guillain-Barre syndrome,"Unfortunately, there is no cure for Guillain-Barrésyndrome(GBS). However, symptoms of the syndrome can be improved with treatments includingplasma exchange therapyandimmunoglobulin therapy. Both of these therapies can help prevent theimmune systemfrom continuing to attack theperipheral nervous system.[1][3]In some cases,corticosteroidshave been used to try to alleviate symptoms of GBS. However, it has not been proven that steroids can help speed recovery.[3]People who have GBS may be admitted to the hospital for treatment and to reduce the risk of complications. In some cases, other treatments may be necessary to prevent complications of GBS including pain medications andheparinto reduce the risk ofblood clots. Some people with GBS may require help breathing with aventilator.[3]Physical,occupational, and speech therapy may be recommended to help people fully recover from GBS.[3]"
Parsonage Turner syndrome,"Treatment for Parsonage Turnersyndromevaries based on the signs and symptoms  in each person.Pain medications may be prescribed depending on the severity of the nerve pain. After the acute phase, different medications known as co-analgesics may be administered. These include gabapentin, carbamazepine, and amitryptiline. These drugs specifically treat nerve pain. Other techniques for pain management include application of heat or cold, and transcutaneous electrical nerve stimulation (a method of pain relief in which a special device transmits low-voltage electrical impulses through electrodes on the skin to an area of the body that is in pain).[1][2]Many people with PTS havephysical therapyand/or occupational therapy to maintain muscle strength and range of motion once the pain begins to subside. Surgeries such as nerve grafting or tendon transfer to restore movement and function to the shoulder muscles and joint may be considered if other treatment options are not effective.[1][2]"
