Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Juvenile myoclonic epilepsy,"Avoiding precipitating events such as alcohol use and sleep deprivation may be useful. However, medical therapy with anti-convulsants is typically needed and well tolerated. The majority of patients can be well-controlled on a single drug, most commonlyvalproic acid. Other medications that might be used separately or in combination includelamotrigine,levetiracetam,clonazepam, andtopiramate.[1][2]More details about the medications used to treat juvenile myoclonicepilepsyare available throughMedscape Referenceand theEpilepsy Foundation."
Elastoderma,"Due to the rarity of the condition, there is no standard therapy available for elastoderma. In some reported cases, the affected skin has been partially excised (removed). However, hyperlaxity of skin often returns following the surgery.[1][2][3]"
Glutaric acidemia type II,"The goal of treatment is to prevent long-term problems. However, children who have repeated metabolic crises may develop life-long learning problems. Individuals with glutaric acidemia type II should consult with a metabolic doctor and adieticianwho can help to develop an appropriate dietary plan. Some treatments may be recommended for some children but not for others. When necessary, treatment should be continued throughout the lifetime. The following treatments are often recommended:[4][5]Avoidance of fasting. Infants and young children with glutaric acidemia type II should eat frequent meals in order to preventhypoglycemiaand metabolic crises.A low-fat, low-protein, high-carbohydrate diet may be advised.Riboflavin,L-carnitineandglycinesupplements may be needed. These supplements help the body create energy.Alert the child's doctor if they should become ill, as illness can trigger a metabolic crisis."
Fibrocartilaginous embolism,"There is, unfortunately, no specific treatment for fibrocartilaginous embolism (FCE). Management is generally focused on preventing possible complications and improving quality of life with medications andphysical therapy.[1]Treatments reported in the literature include surgery,steroid therapy,heparin administration, and/or blood pressure control. However, the benefits of these treatment options are not well-defined.[2][4]"
Extramammary Paget disease,"Extramammary Paget disease (EMPD) is usually treated by surgically removing the skin lesion. It is sometimes difficult to determine how much skin should be removed, particularly when lesions are spread throughout the anogenital region. Because recurrence is common, it is standard for patients to be re-examined every 3 months after surgery for the next 2 years. After 2 years, annual follow-ups are usually recommended.[1][2]In cases where surgery is not a possibility due to recurrence or location; treatment options reported in the medical literature with varying levels of success include: chemotherapeutic agents such as5-fluorouracil,imiquimod,paclitaxel,trastuzumab, anddocetaxelas well asaminolevulinic acid photodynamic therapy,laser ablation, andradiation therapy. Unfortunately, studies regarding the effectiveness of the above treatment options are limited to mainly case studies and small literature reviews with limited follow-up.[1][2][3][4]Promising studies published recently include a study completed in Japan that reviewed the use of docetaxal as a first-line treatment in 13 individuals with EMPD withmetastasis. 12 individuals were found to have a response to treatment with a disease control rate estimated to be 83%. Another promising study reviewed the use of imiquimod in 10 cases of EMPD of the vulva. Complete clinicalremissionwas reported in 9 individuals. The remaining individual had partial remission.[3][4]There is an ongoing research study focused on evaluating the effectiveness of imiquimod in the treatment of EMPD. To learn more about this trial, please click on the following link throughClinicalTrials.govhttps://clinicaltrials.gov/ct2/results?term=extramammary+paget%27s+disease&recr"
Sturge-Weber syndrome,"Pulsed dye laser(PDL) remains the treatment of choice for the majority of children with a port-wine stain (PWS).[2]Laser treatment of port-wine stains may produce good cosmetic results, with a low incidence of adverse skin changes and other side effects.[3]A major benefit of laser treatment for a PWS is that it can help to minimize psychological problems associated with the social consequences of having a PWS. It has been shown that large facial port-wine stains are associated with an increase in mood and social problems in children older than 10 years of age.[2]Most experts agree that there is little risk associated with the use of PDL in a child with Sturge-Webersyndrome(SWS), provided that anticonvulsant therapy is maintained and that adequate care is taken. The level of pain associated with laser treatment varies. Management of anesthesia should be carefully planned to minimize the potential for secondary effects.[2]Few children with SWS achieve complete clearance of their PWS with laser treatment; PDL does have limitations when large areas or dermatomal patterns are involved.[2][3]"
Multiple endocrine neoplasia type 1,"People with multiple endocrine neoplasia, type 1 (MEN1) are usually managed with regularscreeningto allow for early diagnosis and treatment of endocrinetumors. This screening begins in early childhood and continues for life.[2]Recommended screening includes specific types ofimagingstudies every 3-5 years:[2]Head magnetic resonance imaging (MRI scan)begining at age 5.Abdominal computed tomography (CT scan)orabdominal MRI scanbeginning at age 20.Annual blood tests are also recommended, which evaluate the levels of certain substances that can be elevated if an MEN1-associated tumor is present:[2]Prolactinconcentrations, which can be used to screen for pituitary tumors, are measured beginning at age 5.Calciumconcentrations, which can be used to screen for parathyroid tumors, are measured beginning at age 8.Gastrinconcentrations, which can be used to screen for gastrinomas (a specific type of gastro-entero-pancreatic tract tumor) are measured beginning at age 20.When a tumor is detected through screening, the best treatment options depend on many factors, including the size, location, and type of tumor; and whether or not the tumor is ""functional"" (releasinghormones). Many tumors are treated with surgery. If a tumor is functional, removal of the affected endocrine gland often resolves health problems that may be present as a result of elevated hormones. In some cases, functional tumors can be treated with medications that block the function or lower the levels of the overproduced hormone.Chemotherapyorradiation therapymay also be used to to shrink or destroy tumors.[2][3]"
Goldmann-Favre syndrome,"While treatment options for complications such as,retinoschisisandcystoid macular edemamay be recommended, currently there is not a cure or specific targeted treatment for Goldmann Favresyndrome.[8][9]Laser photocoagulationmay benefit macular retinoschisis maybe because it results in the debridement of diseased retinal pigment epithelial (RPE)cellsand replacement by new cells decreasing the fluid within the macular cysts that could form in the disease.[4]Some improvement ofvisual acuityhas been reported after treatments withcyclosporin Aandbromocriptine.[10]Acetazolamide, 125 mg twice daily and topical 2%dorzolamidehave also worked for some patients with macular edema.[3][4]"
Eosinophilic cystitis,"Any possible causative factors, should be avoided or discontinued, such as certain medications (tranilast, mitomycin C). Non-steroidal anti-inflammatory drugs (NSAIDs), such asaspirinoribuprofen, and antihistamines have been used as the primary management of choice with good results.Antibioticsare helpful, especially in those individuals with EC associated withurinary tract infections. Those who do not respond to NSAIDs and antihistamines have been treated withcorticosteroids. Corticosteroids and antihistamines are used because they suppress the inflammatory reaction in the bladder.[3]However, symptoms of EC may persist, despite steroid therapy. If symptoms persist after steroid therapy,azathioprineorcyclosporinecan be tried.[3]Other treatments includeintravesical dimethylsulfoxide, cyclosporin-A (immunosuppressant drug), and silver nitrate.[1]In those with bladder lesions, surgery has been successful. Few patients with progressive EC not responding to medical therapy or surgery may be considered for more radical procedures, such as partial/total cystectomy (surgical removal of all or part of the bladder).[1]"
Eosinophilic enteropathy,"There is no ""cure"" for eosinophilic enteropathy, but treatment can help alleviate symptoms and prevent further damage to the gastrointestinal tract. Treatment of eosinophilic enteropathy varies based on the location of the eosinophils, severity of symptoms, and other medical problems the child or adult may have. In most cases, dietary restrictions and medications can significantly improve the problematic symptoms of this condition.[2]Foodallergy testingis used as a guide for restriction or elimination diets. An elimination diet means strictly avoiding all foods to which the patient has tested positive on allergy testing. Skin and patch testing are used to guide elimination diets.[2]Sometimes a stricter diet, called an elemental diet, is needed. Skin and patch testing are used to guide elimination diets, but it only takes one false negative food for the diet to ""fail"". Elemental diets are diets that do not include whole or broken-down forms ofprotein. Instead, special elemental formulas are used, which are made ofamino acids(the building blocks of proteins), fats, sugars, vitamins and minerals. Amino acids do not cause allergic reactions but whole or partial proteins can.[2]Children and adults who rely in part, or completely, on an elemental amino acid based formula may have a difficult time drinking enough of the formula. To maintain proper nutrition, some require tube feedings directly into the stomach (enteral feeds). In the most severe cases, nutrition is administered directly into the blood stream (parenteral feeds).[2]TheAmerican Partnership for Eosinophilic Disordersprovides more information about treatment for eosinophilic enteropathy. This organization also provides more details onrestricted or elimination dietsandelemental diets."
Eosinophilic pustular folliculitis,"A variety of treatment options for eosinophilic pustular folliculitis (EPF) have been described with variable results.[3]Individualized therapy should be tailored to the type of EPF present.[5]The effectiveness of oralnonsteroidal anti-inflammatory drugs(NSAIDs) is well established for many cases of classic EPF (more than 70%), but the reason why remains unknown. There are cases in which NSAIDs are not effective.[6]For cases of classic EPF, common NSAID options for treatment includeindomethacin(orally or topically) and acemetacin.Naproxenhas also been used with some success. For classic cases that are not responsive to NSAIDs, other treatment options include:[3][5]dapsonetopical and systemicsteroidsisotretinoinitraconazolepermethrininterferonantibioticsAdditional treatment options that may improve symptoms include:[3][1][5]narrowband UVB phototherapyultraviolet therapy withultraviolet Bor with ultraviolet APsoralen plus ultraviolet A(PUVA)calcineurin inhibitors such astacrolimus ointmentcolchicinetransdermal nicotine patchesThe infantile form tends to respond well to topicalcorticosteroidtherapy. It is important to recognize that this form typically resolves on it's own before age 3 in over 80% of cases, so observation or avoiding aggressive treatment is often recommended.[5]In people withHIV-associated EPF,antiretroviral therapytends to greatly diminish symptoms or even eliminate the condition.[3]"
Fibrolamellar carcinoma,"The standard treatment for fibrolamellar carcinoma (FLC) is surgicalresection. Due to the rarity of the condition, there is limited information to support the use of other treatment options and there is no standardchemotherapyregimen. However, other treatments may be considered if surgical resection isn't an option. For example,liver transplantationmay be considered in patients who are not candidates for partial resection (removing a portion of the liver).[1][2]Medscape Reference'sWeb site offers more specific information on the treatment and management of FLC. Please click the link to access this resource."
Epidermolysis bullosa simplex,"There is no cure for any of the types of epidermolysis bullosa simplex (EBS). Treatment of EBS typically involves supportive care to protect the skin from blistering, and the use of dressings that will not further damage the skin and will promote healing. Prevention of blisters may involve applying aluminum chloride to palms and soles to reduce blister formation;cyproheptadinemay be used to reduce blistering in some individuals with the Dowling-Meara type of EBS.Keratolyticsand softening agents for hyperkeratosis (thickening of the skin) of the palms and soles may preventtissuefrom thickening and cracking. Prevention of secondary complications (such as infection of blisters) may involve treatment with topical and/or systemicantibioticsorsilver-impregnated dressingsor gels. Appropriate footwear andphysical therapymay preserve ambulation in children with difficulty walking because of blistering and hyperkeratosis. Surveillance is recommended for infection and proper wound healing. Avoiding excessive heat, poorly fitting or coarse-textured clothing and footwear, and activities that traumatize the skin is typically recommended.[6]Other treatments under investigation for epidermolysis bullosa includeproteintherapy andgene therapy.[7]"
Lafora disease,"Unfortunately, there is currently no cure or way to slow the progression of Lafora disease. Treatment is based on the signs and symptoms present in each person. For example, certain medications may be recommended to managegeneralized seizures. In the advanced stages of the condition, agastrostomy tubemay be placed for feeding. Drugs that are known to worsenmyoclonus(i.e.phenytoin) should be avoided.[2][3]"
Episodic angioedema with eosinophilia,"Treatment may not be needed for episodic angioedema with eosinophilia (EAE), since symptoms usually resolve on their own. When treatment is initiated, steroids are usually the first choice. Certain medications used to treatcancer, includingImatinib(Gleevac) have also been successfully used in treating EAE.[4]"
MYH9 related thrombocytopenia,"There is currently no cure for MYH9-relatedthrombocytopenia. Measures that can be taken to prevent bleeding episodes may includeplatelettransfusion, desmopressin, or antifibrinolytic drug administration prior to surgery or invasive procedures, and regular dental care to prevent bleeding of the gums. People with MYH9RD should avoid drugs that inhibit platelet function or blood coagulation, activities with high risk for injury,ototoxicdrugs, hazardous noise, nephrotoxic agents (agents that are toxic to the kidneys),glucocorticoids(steroids) andradiation therapy. Bleeding episodes are treated with platelet transfusion and sometimes with desmopressin (this helps to shorten bleeding time in some people). People with bleeding episodes should be monitored foranemia. Once a year urine analysis (including 2-hourprotein) and a measurement of serum concentration of creatinine should be done to monitor forkidney disease. Hearing and vision evaluations are needed every three years prior to onset ofhearing lossandcataracts. Kidney complications, hearing loss, and cataracts are all managed in a standard fashion.[1]"
Wagner syndrome,"There is no cure for Wagnersyndrome, but there may be ways to manage the symptoms. Refractive errors (such as myopia) can be corrected by glasses or contact lenses.Cataractsshould be removed via standard protocols by an experienced eye care professional. Retinal breaks can be treated with laserretinopexy(gas bubble placement) or cryotherapy (use of subzero temperatures to treattissuedamage). All individuals with Wagner syndrome should be seen yearly a vitreoretinal specialist for an ophthalmologic evaluation.[2][4]More information about the management of Wagner syndrome can be found through theWagner Syndrome Website."
Erythema elevatum diutinum,"Dapsoneis the first line of treatment for erythema elevatum diutinum.[2][3]Other treatments which may be used include sulfapyridine,niacinamide, and intermittent plasma exchange (PLEXA). In rare cases, surgical treatment may be used to provide symptomatic relief.[2]"
Erythromelalgia,"There appear to be several subtypes of erythromelalgia, each responding to different therapies. Often it is necessary to try various treatments until the best therapy is found.[6]Patients respond quite variably to drug therapy, and no single therapy has proved consistently effective. Spontaneous remissions (going away without treatment) have also occurred.[1]Many types of drugs have been shown to be effective in relieving pain, including aspirin;misoprostol;serotonin-norepinephrine reuptake inhibitorsandselective serotonin reuptake inhibitors;gabapentin; sodium channel blockers;carbamazepine;tricyclic antidepressants;calcium antagonists;magnesium; sodium nitroprusside infusion; andcyclosporine.Other treatments may include:[1]cooling or elevating  extremitiestopical treatment withcapsaicin creamsurgical sympathectomy(a procedure where the sympathetic nerve fibers are selectively cut)epidural infusion of opiatesAvoidance of triggers (such as heat, prolonged standing, alcohol, and spicy foods) may reduce the number or severity of episodes.[6][1]"
Essential thrombocythemia,"Before starting the treatment, it is recommended to determine the risks of having complications according to the  age, medical history and the presence of specificmutationsto decide which the best treatment should be. The available treatments are not curative and do not prevent further evolution of the disease to acute myeloid leukemia or myelofibrosis (which only happens in very rare cases). The treatment of essential thrombocythemia is based in reducing theplatelet countto avoid complications. The most common medication includehydroxyurea,interferon-alpha, Phosphorus 32,anagrelide. Aspirin in low doses can be used to control microvascular symptoms such as redness and pain in the fingers and toes, insufficient blood flow (ischemia), infections in the limbs (gangrene), strokes, syncopes, instability or visual disturbances.[4][10][1]The classification of the disease according to the risks is as following:[6]High-risk disease: People who had  thrombosis at any ageand/orwho are older than 60 years of age and have aJAK2 V617FmutationIntermediate-risk disease: People who are older than 60 years of age, who do not have aJAK2mutation and who never had thrombosisLow-risk disease: People who are 60 years of age oryounger, and who have aJAK2mutation and never had thrombosisVery-low-risk disease: People who are 60 years of age or youngerwithout aJAK2mutation and never had thrombosis.Recent studies have made the following recommendations:[6]People who have a high risk of thrombosis or who had thrombosis should use a cytoreductor in combination with an anticoagulantPeople with high or intermediate risk, should be treated with a cytoreductor in combination with aspirin at low dosesPeople who are at low risk should be treated with low doses of aspirin or are only observed carefully without any type of treatmentHydroxyurea is the preferred cytoreductive drug for most people, because it is less toxic and has a lower risk of producing myelofibrosis. However, in pregnant women and in those women who wish to become pregnant,interferonis used because  hydroxyurea or anagrelide may causebirth defects.[6][4]"
Olfactory neuroblastoma,"There are no standard guidelines for treatment of olfactory neuroblastoma. Treatment is dependent on the stage of thecancer. Most patients are initially treated with surgical removal of thetumorif possible.Radiation therapyis most commonly administered after surgery. The role ofchemotherapyfor olfactory neuroblastoma remains unclear. Although several studies have utilized chemotherapy, it is not clear whether it improves the long-term outlook (prognosis) compared to surgery and radiation therapy.[2][4]"
Hereditary hyperekplexia,"Hereditary hyperekplexia is commonly treated with the anti-anxiety and anti-spastic drugclonazepam. Other medications which have been helpful for some people includecarbamazepine,phenytoin,diazepam,valproate,5-hydroxytryptophan, piracetam,phenobarbital, andfluoxetine.[3][4][5][6]In some cases, a combination of treatments (i.e.clobazamand clonazepam) may be needed.[6][7]If fear of falling has limited a person's willingness to go outside their home and/or caused the development of a cautious walking style,cognitive behavior therapy(CBT) and/orphysical therapy, in combination with the medication to control the startle reflex and rigidity period, may help reduce anxiety, improve confidence in walking, and improve the person's quality of life.[3][4][5]"
Pelvic lipomatosis,"To date, weight-loss has not been shown to be effective in
managingpelviclipomatosis. Treatment options for pelvic lipomatosis
may include watchful waiting or surgery. Unfortunately, less invasive
treatments such asantibiotics, steroids, andradiation therapyare not
helpful.[2]Currently there are no well established treatment guidelines for pelvic lipomatosis. It can likewise be difficult to find doctors who have clinical experience  with this rare condition. The following
organization has a medical advisory board, physician
locator services, and patient networks which may help you find doctors
who are experienced in treating pelvic lipomatosis. While the group does
not offer information on pelvic lipomatosis currently,
they do advocate for all people with rare fat disorders.Fat Disorders Research Society2305 Robincrest LnGlenview,
IL
60025E-mail:http://www.fatdisorders.org/contact-fdrs/Website:http://www.fatdisorders.org"
Exercise-induced anaphylaxis,"Prevention remains the best treatment for patients with exercise-induced anaphylaxis.[1]Management should include education about safe conditions for exercise, identification and avoidance of offending foods, the importance of stopping exercise immediately if symptoms develop, the appropriate use of epinephrine, and the importance of having epinephrine available at all times. Patients may also be advised to wear a medical alert bracelet with instructions on the use of epinephrine.[1][2]The following factors may increase the risk of an exercise-induced attack and are often considered co-factors: nonsteroidal anti-inflammatory drugs (NSAIDs), alcohol, certain phases of the menstrual cycle, temperature extremes, and seasonal pollen exposure.[2]As a result, patients may be advised to minimize their exposure to theserisk factors.[1]"
